,Project No,Project Title,Implementing Agency,Approp Fund,Agy Fund,Lifetime Budget,LTD Allotments,Exp to 2013,Allot 2014,Exp 2014,Allot 2015,Exp 2015,Allot 2016,Exp 2016,LTD Expenditures,Unspent Allot,Encumbrances,Pre Encumbrances,ID Advances,LifeTime Balance,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,6-yr Total
31,GM102C,BOILER REPAIRS - DCPS,AM0,0300,0300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500000,4000000,4186863,4645206,4645206,0,21977275
32,GM120C,GENERAL MISCELLANEOUS REPAIRS,AM0,0300,0300,38516714.68,27213984.05,12817021.07,3599714.08,4444855.35,5367611.15,3162399.3,3721645,154879.07,20579154.79,6634829.26,1711172.62,722575.37,119736.36,15384075.54,3886000,450000,3910600,3056130,0,0,11302730
33,GM120C,GENERAL MISCELLANEOUS REPAIRS,,,0301,9812250,1182250,0,400285.92,393000,-7285.92,0,789250,0,393000,789250,0,0,0,9419250,614000,4016000,0,0,4000000,0,8630000
34,GM120C,GENERAL MISCELLANEOUS REPAIRS,GM0,0300,0300,39977827.25,39977827.25,39977827.25,0,0,0,0,0,0,39977827.25,0,0,0,0,0,0,0,0,0,0,0,0
35,GM120C,GENERAL MISCELLANEOUS REPAIRS,AM0,0300,0300,89105,89105,0,0,0,0,0,89105,0,0,89105,0,0,0,89105,0,0,0,0,0,0,0
36,GM121C,MAJOR REPAIRS/MAINTENANCE,AM0,0300,0300,46954544.28,32046948.28,14426768.14,7625000,4584449.5,4313730.88,3965618.82,4950000,70624.15,23047460.61,8999487.67,2751389.13,1230358.3,0,19925336.24,3720500,0,3018098,3168998,5000000,0,14907596
37,GM121C,MAJOR REPAIRS/MAINTENANCE,,,0301,3085578.11,895203.11,0,1000,0,862262.64,0,0,0,0,895203.11,0,0,0,3085578.11,0,2190375,0,0,0,0,2190375
38,GM121C,MAJOR REPAIRS/MAINTENANCE,GM0,0300,0300,52232616.83,52232616.83,52232616.83,0,0,0,0,0,0,52232616.83,0,0,0,0,0,0,0,0,0,0,0,0
39,GM121C,MAJOR REPAIRS/MAINTENANCE,,,0301,2658394.54,2658394.54,2658394.54,0,0,0,0,0,0,2658394.54,0,0,0,0,0,0,0,0,0,0,0,0
40,GM121C,MAJOR REPAIRS/MAINTENANCE,,0330,3109,132098,132098,132098,0,0,0,0,0,0,132098,0,0,0,0,0,0,0,0,0,0,0,0
41,GM303C,ADA COMPLIANCE,AM0,0300,0300,19838692,6812692,515102.5,1217000,736750.37,2000000,1840351.04,2400000,49630.55,3141834.46,3670857.54,683876.31,449154,0,15563827.23,0,0,0,0,0,0,0
42,GM303C,ADA COMPLIANCE,GM0,0300,0300,907890,907890,907890,0,0,0,0,0,0,907890,0,0,0,0,0,0,0,0,0,0,0,0
43,GM303C,ADA COMPLIANCE,AM0,0300,0300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000,2500000,2500000,500000,5026000,0,13026000
44,GM304C,ELECTRICAL UPGRADES,AM0,0300,0300,12382622.39,7833151.39,4627187.79,850000,727984.88,678648,945391.53,-125000,0,6300564.2,1532587.19,864166.07,213439.14,0,5004452.98,861500,500000,1077818,1110153,1000000,0,4549471
45,GM304C,ELECTRICAL UPGRADES,GM0,0300,0300,17030003.95,17030003.95,17030003.95,0,0,0,0,0,0,17030003.95,0,0,0,0,0,0,0,0,0,0,0,0
46,GM304C,ELECTRICAL UPGRADES,,,0301,551077.02,551077.02,551077.02,0,0,0,0,0,0,551077.02,0,0,0,0,0,0,0,0,0,0,0,0
47,GM304C,ELECTRICAL UPGRADES,,0330,3109,232111,232111,232111,0,0,0,0,0,0,232111,0,0,0,0,0,0,0,0,0,0,0,0
48,GM308C,PROJECT MANAGEMENT PROF. FEES & CONTINGE,AM0,0300,0300,1979624.64,1979624.64,267209.89,570010,311555.54,933000,595922.39,0,-78764.64,1095923.18,883701.46,483269.32,0,6897.81,393534.33,0,0,0,0,0,0,0
49,GM308C,PROJECT MANAGEMENT PROF. FEES & CONTINGE,GM0,0300,0300,19180252.73,19180252.73,19180252.79,0,0,0,0,0,0,19180252.79,-0.06,0,0,0,-0.06,0,0,0,0,0,0,0
50,GM308C,PROJECT MANAGEMENT PROF. FEES & CONTINGE,,,0301,2685289.84,2685289.84,2685289.78,0,0,0,0,0,0,2685289.78,0.06,0,0,0,0.06,0,0,0,0,0,0,0
51,GM308C,PROJECT MANAGEMENT PROF. FEES & CONTINGE,,0330,3109,6806452.57,6806452.57,6806452.57,0,0,0,0,0,0,6806452.57,0,0,0,0,0,0,0,0,0,0,0,0
52,GM311C,HIGH SCHOOL LABOR - PROGRAM MANAGEMENT,AM0,0300,0300,42112843.21,24916130.21,6677572.06,6592000,6752215.86,7429000,5131192.24,1937000,323936.86,18884917.02,6031213.19,1067265.68,1631000,0,20529660.51,858000,0,3398000,6423513,6517200,0,17196713
53,GM311C,HIGH SCHOOL LABOR - PROGRAM MANAGEMENT,GM0,0300,0300,6255866.79,6255866.79,6255866.79,0,0,0,0,0,0,6255866.79,0,0,0,0,0,0,0,0,0,0,0,0
54,GM312C,ES/MS MODERNIZATION CAPITAL LABOR - PROG,AM0,0300,0300,75461155.68,26694655.68,4129187.68,5784000,4136884.13,5569000,5344401.38,10410000,-319460.33,13291012.86,13403642.82,1770116.67,6804614,0,53595412.15,12504000,10498000,10563500,7835000,7366000,0,48766500
55,GM312C,ES/MS MODERNIZATION CAPITAL LABOR - PROG,GM0,0300,0300,4071344.32,4071344.32,4071344.32,0,0,0,0,0,0,4071344.32,0,0,0,0,0,0,0,0,0,0,0,0
56,GM313C,STABILIZATION CAPITAL LABOR - PROGRAM MG,AM0,0300,0300,18939614.54,5132688.56,1561946.43,965000.01,811374.02,655000,637850.5,1903000,77509.99,3088680.94,2044007.62,167751.85,961000,0,14722181.75,1938000,5108000,2359126,1724000,2677800,0,13806926
57,GM313C,STABILIZATION CAPITAL LABOR - PROGRAM MG,GM0,0300,0300,1658311.45,1658311.45,1658311.45,0,0,0,0,0,0,1658311.45,0,0,0,0,0,0,0,0,0,0,0,0
58,GM314C,SELECTIVE ADDITIONS/NEW CONSTRUCTION LAB,AM0,0300,0300,2804990,2804990,918910.62,289990,245704.97,1282000,996269.44,0,80009.95,2240894.98,564095.02,185619.56,0,0,378475.46,0,0,0,0,0,0,0
59,GM703C,TARGETED REPAIR INITIATIVE,GA0,0300,0301,26680940.2,26680940.2,26680940.2,0,0,0,0,0,0,26680940.2,0,0,0,0,0,0,0,0,0,0,0,0
60,GR337C,GREEN ES MODERNIZATION/RENOVATION,AM0,0300,0300,52962.9,52962.9,0,0,0,0,0,0,0,0,52962.9,0,0,0,52962.9,0,0,0,0,0,0,0
61,JOH37C,JOHNSON MS RENOVATION/MODERNIZATION,AM0,0300,0300,16619467.41,16619467.41,4151198.8,0,229198.44,10776150,10386576.55,0,-5856.5,14761117.29,1858350.12,951734.02,20000,24740.21,861875.89,0,0,0,0,0,0,0
62,JOH37C,JOHNSON MS RENOVATION/MODERNIZATION,,,0301,109850,109850,0,0,0,109850,43050,0,0,43050,66800,0,0,0,66800,0,0,0,0,0,0,0
63,JOH37C,JOHNSON MS RENOVATION/MODERNIZATION,GM0,0300,0300,3192210.7,3192210.7,3192210.7,0,0,0,0,0,0,3192210.7,0,0,0,0,0,0,0,0,0,0,0,0
64,LL337C,LANGLEY ES MODERNIZATION/RENOVATION,AM0,0300,0300,1173837.31,1173837.31,1153785.49,0,0,-2486.45,0,0,0,1153785.49,20051.82,20051.82,0,0,0,0,0,0,0,0,0,0
65,LL337C,LANGLEY ES MODERNIZATION/RENOVATION,GM0,0300,0300,9099832.91,9099832.91,9099832.91,0,0,0,0,0,0,9099832.91,0,0,0,0,0,0,0,0,0,0,0,0
66,MG137C,ADDISON ANNEX (TOHYDE) SPECIAL EDUCATION,GA0,0300,0301,1137999.75,1137999.75,1137999.75,0,0,0,0,0,0,1137999.75,0,0,0,0,0,0,0,0,0,0,0,0
67,MG137C,ADDISON ANNEX (TOHYDE) SPECIAL EDUCATION,GM0,0300,0301,671510.17,671510.17,671510.17,0,0,0,0,0,0,671510.17,0,0,0,0,0,0,0,0,0,0,0,0
68,MG137C,ADDISON ANNEX (TOHYDE) SPECIAL EDUCATION,,0330,3109,2106666.19,2106666.19,2106666.19,0,0,0,0,0,0,2106666.19,0,0,0,0,0,0,0,0,0,0,0,0
69,MG138C,ADDISON ANNEX SPED,GA0,0300,0300,6000000,6000000,6000000,0,0,0,0,0,0,6000000,0,0,0,0,0,0,0,0,0,0,0,0
70,MG237C,EASTERN HS,AM0,0300,0300,0,0,0,0,-196.86,0,0,0,0,-196.86,196.86,0,0,0,196.86,0,0,0,0,0,0,0
71,MG237C,EASTERN HS,,,0301,515940.41,515940.41,515940.41,0,0,-3846.85,0,0,0,515940.41,0,0,0,0,0,0,0,0,0,0,0,0
72,MG237C,EASTERN HS,GM0,0300,0300,73705034.21,73705034.21,73705004.21,0,0,0,0,0,0,73705004.21,30,0,0,0,30,0,0,0,0,0,0,0
73,MG237C,EASTERN HS,,,0301,121836.64,121836.64,121866.64,0,0,0,0,0,0,121866.64,-30,0,0,0,-30,0,0,0,0,0,0,0
74,MG237C,EASTERN HS,,0330,3109,160260,160260,160260,0,0,0,0,0,0,160260,0,0,0,0,0,0,0,0,0,0,0,0
75,MG538C,MAMIE D. LEE SPED CNTR,GA0,0300,0300,150000,150000,150000,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0
76,MG637C,MONTGOMERY/KIPP EDUCATION CENTER EDUCATI,AM0,0300,0300,328814,328814,328814,-47278,0,0,0,0,0,328814,0,0,0,0,0,0,0,0,0,0,0,0
77,MG637C,MONTGOMERY/KIPP EDUCATION CENTER EDUCATI,GM0,0300,0300,6605697,6605697,6605697,0,0,0,0,0,0,6605697,0,0,0,0,0,0,0,0,0,0,0,0
78,MH137C,DUNBAR SHS MODERNIZATION,AM0,0300,0300,121176750.2,121176750.2,100246821.6,8611000,17114332.33,-2208209.19,1572899.93,-250000,0,118934053.9,2242696.27,1471755.05,71083.78,3047.05,696810.39,0,0,0,0,0,0,0
79,MH137C,DUNBAR SHS MODERNIZATION,,,0301,556606.1,556606.1,551706.1,0,0,-94996.81,0,0,0,551706.1,4900,4900,0,0,0,0,0,0,0,0,0,0
80,MH137C,DUNBAR SHS MODERNIZATION,GM0,0300,0300,3411533.23,3411533.23,3411533.23,0,0,0,0,0,0,3411533.23,0,0,0,0,0,0,0,0,0,0,0,0
81,MJ137C,JANNEY ES MODERNIZATION/RENOVATION PROJE,AM0,0300,0300,4723698.73,4723698.73,3828331.9,0,131085.63,598843.65,300641.5,0,0,4260059.03,463639.7,48905.7,338251,0,76483,0,0,0,0,0,0,0
82,MJ137C,JANNEY ES MODERNIZATION/RENOVATION PROJE,,,0301,11192.8,11192.8,7253.32,0,3939.48,-15121.32,0,0,0,11192.8,0,0,0,0,0,0,0,0,0,0,0,0
83,MJ137C,JANNEY ES MODERNIZATION/RENOVATION PROJE,GM0,0300,0300,26212633.07,26212633.07,26212633.07,0,0,0,0,0,0,26212633.07,0,0,0,0,0,0,0,0,0,0,0,0
84,MJ137C,JANNEY ES MODERNIZATION/RENOVATION PROJE,,,0301,174199.8,174199.8,174199.8,0,0,0,0,0,0,174199.8,0,0,0,0,0,0,0,0,0,0,0,0
85,MJ138C,JANNEY ES MODERNIZATION,AM0,0300,0300,6828033.4,6828033.4,0,6850000,6238757.55,-21966.6,546482.35,0,0,6785239.9,42793.5,42793.5,0,0,0,0,0,0,0,0,0,0
86,MO337C,MOTEN ES MODERNIZATION/RENOVATION,ELC,0300,0302,216576,216576,216576,0,0,0,0,0,0,216576,0,0,0,0,0,0,0,0,0,0,0,0
87,MO337C,MOTEN ES MODERNIZATION/RENOVATION,AM0,0300,0300,25475024,25475024,24418568.12,-1222.91,925000,0,0,0,0,25343568.12,131455.88,47759.01,0,21543.56,62153.31,0,0,0,0,0,0,0
88,MO337C,MOTEN ES MODERNIZATION/RENOVATION,,,0301,1273021.7,1273021.7,1212565.18,-313116.61,32864.43,0,19160,0,0,1264589.61,8432.09,8432.09,0,0,0,0,0,0,0,0,0,0
89,MO337C,MOTEN ES MODERNIZATION/RENOVATION,,0330,3109,101080.64,101080.64,101080.64,0,0,0,0,0,0,101080.64,0,0,0,0,0,0,0,0,0,0,0,0
90,MO337C,MOTEN ES MODERNIZATION/RENOVATION,GM0,0300,0300,791178.27,791178.27,791178.27,0,0,0,0,0,0,791178.27,0,0,0,0,0,0,0,0,0,0,0,0
91,MR337C,MAURY ES MODERNIZATION/RENOVATION,AM0,0300,0300,8011156.15,8011156.15,1782389.81,-114655.06,-437.83,0,52853.85,5844000,0,1834805.83,6176350.32,2204.17,0,0,6174146.15,0,0,0,0,0,0,0
92,MR337C,MAURY ES MODERNIZATION/RENOVATION,,,0301,0,0,0,0,0,800000,0,-800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,MR337C,MAURY ES MODERNIZATION/RENOVATION,GM0,0300,0300,3859589,3859589,3859589,0,0,0,0,0,0,3859589,0,0,0,0,0,0,0,0,0,0,0,0
94,N$S11A,PROPERTY SALES,GA0,0300,0300,502885.88,502885.88,502885.88,0,0,0,0,0,0,502885.88,0,0,0,0,0,0,0,0,0,0,0,0
95,N5001C,WIRELESS ACCESS AND NETWORK INFRASTRUCTU,TO0,0300,0301,2408186.88,2408186.88,2408186.88,0,0,0,0,0,0,2408186.88,0,0,0,0,0,0,0,0,0,0,0,0
96,N5002C,INFORMATION SECURITY INVESTMENT,TO0,0300,0301,1132828.62,1132828.62,1132828.62,0,0,0,0,0,0,1132828.62,0,0,0,0,0,0,0,0,0,0,0,0
97,N5004C,DCPS DCSTARS SOFTWARE REPLACEMENT,TO0,0300,0301,3556946.33,3556946.33,3556946.33,0,0,0,0,0,0,3556946.33,0,0,0,0,0,0,0,0,0,0,0,0
98,N5005C,IT SERVER OPERATIONS SUPPORT AND CONSOLI,TO0,0300,0301,2241656.86,2241656.86,2241656.86,0,0,0,0,0,0,2241656.86,0,0,0,0,0,0,0,0,0,0,0,0
99,N5006C,WEBSITE DEVELOPMENT AND ENHANCEMENTS,TO0,0300,0300,30200,30200,0,0,27589.83,0,0,0,0,27589.83,2610.17,0,0,0,2610.17,0,0,0,0,0,0,0
100,N5006C,WEBSITE DEVELOPMENT AND ENHANCEMENTS,,,0301,269800,269800,269800,0,0,0,0,0,0,269800,0,0,0,0,0,0,0,0,0,0,0,0
101,N5007C,FILENET DEVELOPMENT AND IMPLEMENTATION,TO0,0300,0301,106093.41,106093.41,106093.41,0,0,0,0,0,0,106093.41,0,0,0,0,0,0,0,0,0,0,0,0
102,N5009C,BUILDING ACCESS SOLUTION,TO0,0300,0301,939196,939196,916867,0,12405,-14386,0,0,0,929272,9924,9924,0,0,0,0,0,0,0,0,0,0
103,N5010C,STUDENT ID SYSTEM,TO0,0300,0301,359748,359748,359748,0,0,0,0,0,0,359748,0,0,0,0,0,0,0,0,0,0,0,0
104,N5011C,PEOPLESOFT HARDWARE SOLUTION,TO0,0300,0301,974510.95,974510.95,974510.95,0,0,0,0,0,0,974510.95,0,0,0,0,0,0,0,0,0,0,0,0
105,N5047C,FILENET DEVT & IMPLEMENTATION,ELC,0300,0302,0,0,0,-108787.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,N8001C,DCPS IT INFRASTRUCTURE UPGRADE,TO0,0300,0301,6892413.02,6892413.02,5715814.73,0,996969.97,-37786.98,25301.4,0,0,6738086.1,154326.92,6834.58,0,48398.98,99093.36,0,0,0,0,0,0,0
107,N8005C,DCPS IT INFRASTRUCTURE UPGRADE,TO0,0300,0300,30854045,13000000,0,4500000,3771023.85,4500000,4507811.77,4000000,0,8278835.62,4721164.38,241664.16,1525783.35,5085,20802676.87,4500000,3000000,4000000,4500000,1854045,0,17854045
108,NA105C,ADAMS ES - ROOFING,GA0,0300,0300,200000,200000,200000,0,0,0,0,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0
109,NA110C,ADAMS ES - LIFE SAFETY CODE COMPLIANCE,GA0,0300,0300,1407619.69,1407619.69,1407619.69,0,0,0,0,0,0,1407619.69,0,0,0,0,0,0,0,0,0,0,0,0
110,NA137C,ADAMS ES - MODERNIZATION/RENOVATION,GA0,0300,0301,205274.55,205274.55,205274.55,0,0,0,0,0,0,205274.55,0,0,0,0,0,0,0,0,0,0,0,0
111,NA403C,ANACOSTIA HS - EXTERIOR FINISHINGS - OTHER,GA0,0300,0300,3399684.64,3399684.64,3399684.64,0,0,0,0,0,0,3399684.64,0,0,0,0,0,0,0,0,0,0,0,0
112,NA637C,BALLOU HS - MODERNIZATION/RENOVATION,AM0,0300,0300,159763053.2,159763053.2,22684326.5,88653000,79271205,10509000,36569235.71,0,4007,138528774.2,21234278.94,17198558.64,2955366.78,248465.76,831887.76,0,0,0,0,0,0,0
113,NA637C,BALLOU HS - MODERNIZATION/RENOVATION,,,0301,0,0,0,0,0,-152806.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,NA637C,BALLOU HS - MODERNIZATION/RENOVATION,GA0,0300,0300,3212958.14,3212958.14,3212958.14,0,0,0,0,0,0,3212958.14,0,0,0,0,0,0,0,0,0,0,0,0
115,NA937C,BARNARD ES - MODERNIZATION/RENOVATION,GA0,0300,0300,17867771.95,17867771.95,17867771.95,0,0,0,0,0,0,17867771.95,0,0,0,0,0,0,0,0,0,0,0,0
116,NB237C,BELL-LINCOLN - MODERNIZATION/RENOVATION,GA0,0300,0300,77122172.94,77122172.94,77122172.94,-71107.6,0,0,0,0,0,77122172.94,0,0,0,0,0,0,0,0,0,0,0,0
117,NB237C,BELL-LINCOLN - MODERNIZATION/RENOVATION,,0345,0306,1530000,1530000,1530000,0,0,0,0,0,0,1530000,0,0,0,0,0,0,0,0,0,0,0,0
118,NB537C,BOWEN ES - MODERNIZATION/RENOVATION,GA0,0300,0300,0,0,70000,0,-70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,NB737C,BRIGHTWOOD ES - MODERNIZATION/RENOVATION,GM0,0300,0300,471609.93,471609.93,471609.93,0,0,0,0,0,0,471609.93,0,0,0,0,0,0,0,0,0,0,0,0
120,NB737C,BRIGHTWOOD ES - MODERNIZATION/RENOVATION,,0330,3109,683450.63,683450.63,683450.63,0,0,0,0,0,0,683450.63,0,0,0,0,0,0,0,0,0,0,0,0
121,NB737C,BRIGHTWOOD ES - MODERNIZATION/RENOVATION,AM0,0300,0300,4237.07,4237.07,550,0,0,0,0,0,0,550,3687.07,0,0,0,3687.07,0,0,0,0,0,0,0
122,NB737C,BRIGHTWOOD ES - MODERNIZATION/RENOVATION,,,0301,0,0,0,-5009.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,NB737C,BRIGHTWOOD ES - MODERNIZATION/RENOVATION,GA0,0300,0300,19878842.64,19878842.64,19878842.64,0,0,0,0,0,0,19878842.64,0,0,0,0,0,0,0,0,0,0,0,0
124,NB737C,BRIGHTWOOD ES - MODERNIZATION/RENOVATION,,,0301,1231008,1231008,1231008,0,0,0,0,0,0,1231008,0,0,0,0,0,0,0,0,0,0,0,0
125,NC210C,BRUCE-MONROE ES LIFE SAFETY CODE COMPLIA,GA0,0300,0300,1499357.59,1499357.59,1499357.59,0,0,0,0,0,0,1499357.59,0,0,0,0,0,0,0,0,0,0,0,0
126,NC837C,CLEVELAND ES-MODERNIZATION/RENOVATION,GA0,0300,0300,17288524.46,17288524.46,17288524.46,0,0,0,0,0,0,17288524.46,0,0,0,0,0,0,0,0,0,0,0,0
127,ND137C,COOKE ES-MODERNIZATION/RENOVATION,GM0,0300,0300,3876446.56,3876446.56,3876446.56,0,0,0,0,0,0,3876446.56,0,0,0,0,0,0,0,0,0,0,0,0
128,ND137C,COOKE ES-MODERNIZATION/RENOVATION,,,0301,3002964.36,3002964.36,3002964.36,0,0,0,0,0,0,3002964.36,0,0,0,0,0,0,0,0,0,0,0,0
129,ND137C,COOKE ES-MODERNIZATION/RENOVATION,,0330,3109,3284960.08,3284960.08,3284960.08,0,0,0,0,0,0,3284960.08,0,0,0,0,0,0,0,0,0,0,0,0
130,ND137C,COOKE ES-MODERNIZATION/RENOVATION,AM0,0300,0301,0,0,0,-10857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,ND137C,COOKE ES-MODERNIZATION/RENOVATION,GA0,0300,0300,22044240.01,22044240.01,22020063.01,0,0,0,0,0,0,22020063.01,24177,0,0,0,24177,0,0,0,0,0,0,0
132,ND137C,COOKE ES-MODERNIZATION/RENOVATION,,,0301,292077,292077,316254,0,0,0,0,0,0,316254,-24177,0,0,0,-24177,0,0,0,0,0,0,0
133,ND437C,DEAL JHS MODERNIZATION/RENOVATION,GM0,0300,0300,21627648.73,21627648.73,21627648.73,0,0,0,0,0,0,21627648.73,0,0,0,0,0,0,0,0,0,0,0,0
134,ND437C,DEAL JHS MODERNIZATION/RENOVATION,,,0301,9083278.32,9083278.32,9083278.32,0,0,0,0,0,0,9083278.32,0,0,0,0,0,0,0,0,0,0,0,0
135,ND437C,DEAL JHS MODERNIZATION/RENOVATION,,0330,3109,18597510.6,18597510.6,18597510.6,0,0,0,0,0,0,18597510.6,0,0,0,0,0,0,0,0,0,0,0,0
