School name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Grand Total
EVANS (CLOSED),,,,,,,,,,," $546,621 "," $302,468 ",,,,,," $849,089 "
FEREBEE-HOPE,,,,,,,,,,," $1,670,531 "," $10,439,190 ",,,,,," $12,109,722 "
FLETCHER-JOHNSON,,,,,,,,,,," $9,071,116 "," $1,948,119 ",,,,,," $11,019,235 "
FRANCIS-STEVENS,,,,,,,,,,," $4,308,793 "," $493,342 ",,,,,," $4,802,135 "
GAGE-ECKINGTON (DEMOLISHED),,,,,,,,,,," $703,607 "," $84,029 ",,,,,," $787,635 "
GARFIELD,,,,,,,,,,," $810,787 "," $487,369 ",,,,,," $1,298,156 "
GARNET-PATTERSON,,,,,," $1,234 "," $2,291,142 "," $3,107,623 ",,," $2,398,413 "," $(14,710)",,,,,," $7,783,702 "
GARRISON,,,,,,,,,,," $284,940 "," $186,514 ",,,,,," $471,454 "
GIBBS,,,,,,,,,,," $660,093 "," $68,867 ",,,,,," $728,960 "
GODING (PROSPECT),,,,,,,,,,," $361,089 "," $53,733 ",,,,," $32,582 "," $447,404 "
HAMILTON ,,,,,,,,,,," $2,153,091 "," $332,618 ",,,,,," $2,485,709 "
"HARDY (ROSARIO, GORDON)",,,,," $38,971 "," $1,193,250 "," $931,138 "," $189,474 "," $3,943,542 "," $14,211,864 "," $24,405,240 "," $10,992,133 ",," $47,487 ",,,," $55,953,099 "
"HARRIS, C.W.",,,,,,,,,,," $1,020,024 "," $264,493 ",,,,,," $1,284,518 "
"HARRIS, P.R.",,,,,,, $700 ,,,," $3,642,274 "," $4,304 ",,,,,," $3,647,277 "
HART,,,,,,,,,,," $7,222,620 "," $1,398,516 ",," $10,927,139 "," $1,236,648 ",,," $20,784,923 "
HEARST,,,,,,,,,,," $204,882 "," $1,882,385 ",,," $4,972,787 "," $11,423,304 "," $1,881,385 "," $20,364,743 "
HENDLEY,,,,,,,,,,," $2,024,953 "," $446,136 ",,,," $14,886,502 "," $560,654 "," $17,918,245 "
HILLTOP CAMPUS,,,,,,,,,,,," $631,970 ",,,,,," $631,970 "
HINE (CLOSED),,,,,,,,,,," $671,527 "," $48,057 ",,,,,," $719,583 "
HOUSTON,,,,,,,,,,," $564,927 "," $1,338,747 ",," $17,706 ",,,," $1,921,380 "
HYDE-ADDISON,,,,,,,,,,,," $3,987,120 ",," $786,967 ",,," $287,729 "," $5,061,816 "
HYDE-ADDISON ,,,,,,,,,,," $5,612,671 "," $4,092,726 ",,,,,," $9,705,397 "
JACKSON,,,,,,,,,,," $2,800,000 "," $201,000 ",,,,,," $3,001,000 "
JANNEY,,,,,,,,,,," $650,327 "," $157,606 ",," $22,659,145 "," $2,612,043 "," $1,223,542 "," $353,999 "," $27,656,663 "
JEFFERSON,,,,,,,,,,," $929,034 "," $319,434 ",," $1,119,429 "," $32,280 ",,," $2,400,177 "
JO WILSON,,,,,,,,,,," $4,162,684 "," $2,231,643 ",," $967,152 "," $275,108 ",,," $7,636,587 "
JOHNSON,,,,,,,," $75,285 ",," $14,777 "," $2,238,288 "," $241,529 ",," $427,011 "," $897,952 "," $3,253,247 "," $183,940 "," $7,332,029 "
KELLY MILLER,,," $3,239 "," $61,555 "," $10,550,086 "," $17,166,435 "," $4,096,656 "," $1,646,691 "," $210,948 "," $124,662 "," $535,985 "," $182,250 ",,,,,," $34,578,507 "
KENILWORTH,,,,,,,,,,," $606,681 "," $362,983 ",,,,,," $969,664 "
KETCHAM,,,,,,,,,,," $1,162,781 "," $400,349 ",,," $6,747,467 "," $1,580,906 ", $318 ," $9,891,821 "
KEY,,," $5,239 "," $2,370,646 "," $6,303,094 "," $1,501,896 "," $504,145 ", $66 ," $2,322,403 ",," $260,410 "," $131,593 ",,,,,," $13,399,492 "
KIMBALL,,,,,,,,,,," $710,631 "," $363,726 ",,,,,," $1,074,357 "
"KING, M.L.  ",,,,,,,,,,," $1,420,683 "," $158,757 ",," $304,792 "," $30,465 "," $792,195 "," $11,662 "," $2,718,554 "
KRAMER,,,,,," $169,080 "," $146,849 "," $382,296 "," $86,262 "," $197,049 "," $2,176,329 "," $685,365 ",,,,," $451,663 "," $4,294,893 "
LAFAYETTE,,,,,,,,,,," $564,255 "," $742,220 ",," $4,722 ",,,," $1,311,197 "
LANGDON,,,,,,,,,,," $1,570,722 "," $973,679 ",," $109,358 ",,,," $2,653,759 "
LANGLEY,,,,,,,,,,,,,," $9,099,833 "," $1,153,785 ",,," $10,253,618 "
LASALLE,,,,,,,,,,," $5,727,094 "," $1,075,891 ",,," $4,898,139 "," $1,166,936 "," $294,107 "," $13,162,167 "
LECKIE,,,,,,,,,," $169,248 "," $2,467,111 "," $568,441 ",,," $4,921,627 "," $2,657,774 "," $265,736 "," $11,049,938 "
"LEE, MAMIE D.",,,,,,,,,," $150,000 "," $494,125 "," $186,044 ",,,,,," $830,168 "
LUDLOW-TAYLOR,,,,,,,,,,," $1,299,246 "," $657,216 ",,,," $10,764,854 "," $449,385 "," $13,170,701 "
LUKE MOORE ,,,,," $42,988 "," $1,337,405 "," $422,550 "," $3,133,559 "," $8,990,674 "," $1,486,162 "," $3,612,097 "," $32,217 ",, $53 ,,,," $19,057,705 "
MACFARLAND,,,,,," $202,794 "," $178,505 "," $105,248 "," $92,507 "," $24,606 "," $3,700,370 "," $1,232,416 ",,,,,," $5,536,446 "
MALCOLM X,,,,,,,,,,," $492,760 "," $347,078 ",,,,,," $839,838 "
MANN,,,,,,,,,,," $440,694 "," $1,652,410 ",,," $451,305 "," $7,673,507 "," $1,117,820 "," $11,335,737 "
MARIE REED,,,,,," $1,705,969 ",,, $227 ,," $1,351,639 "," $595,192 ",,,," $543,701 "," $274,751 "," $4,471,480 "
"MARSHALL,THURGOOD(Ft Lincoln, CLOSED)"," $73,028 ",,,,,,,,,," $473,337 "," $340,993 ",,,,,," $887,358 "
MAURY,,,,,,,,,,," $238,342 "," $293,934 ",," $3,859,589 "," $782,390 "," $1,000,000 "," $647,398 "," $6,821,652 "
McGOGNEY,,,,,,,,,,," $66,691 "," $6,147 ",,,,,," $72,838 "
MCKINLEY," $1,898 ",,,," $2,259,268 "," $20,828,964 "," $24,309,732 "," $13,839,794 "," $569,428 "," $395,857 "," $3,195,191 "," $424,046 ",,," $142,408 "," $11,654,316 "," $1,476,460 "," $79,097,362 "
MERRITT,,,,,,,,,,," $554,599 "," $66,281 ",,,,,," $620,880 "
MEYER,,,,,,,,,,," $647,565 "," $58,603 ",,,,,," $706,168 "
MINER,,," $4,471 "," $57,330 "," $4,796,097 "," $13,950,197 "," $477,967 "," $1,553,009 "," $70,037 ",," $365,606 "," $156,175 ",,,,,," $21,430,888 "
MONTGOMERY,,,,,,,,,,," $4,718,867 "," $5,315,565 ",,,,,," $10,034,432 "
MONTGOMERY/KIPP,,,,,,,,,,,," $4,860,250 ",,," $328,814 ",,," $5,189,064 "
MOTEN,,,,,,,,,,," $2,643,273 "," $195,367 ",," $8,291,178 "," $20,883,252 "," $4,848,962 "," $957,864 "," $37,819,896 "
MOTEN AT WILKINSON,,,,,,,,," $500,000 ",," $7,750,680 "," $1,414,647 ",,,,,," $9,665,327 "
MURCH,,,,,,,,,,," $782,415 "," $2,231,235 ",," $225,169 "," $174,831 ",,," $3,413,650 "
NALLE,,,,,,,,,,," $892,065 "," $62,854 ",,," $9,492,349 "," $1,874,133 "," $32,084 "," $12,353,486 "
NOYES,,," $4,334 "," $237,704 "," $7,823,341 "," $4,989,988 "," $4,306,748 "," $6,179,251 "," $1,167,278 "," $10,659 "," $114,634 "," $46,243 "," $23,540 ",,,,," $24,903,720 "
ORR,,,,,,,,,,," $236,290 "," $259,427 ",,,,,," $495,717 "
OYSTER-ADAMS,,,,,,,,,,," $698,764 "," $1,771,877 "," $13,053 "," $350,766 ",," $1,954,472 "," $36,009 "," $4,824,941 "
PATTERSON,,," $4,972 "," $227,981 "," $5,568,322 "," $9,406,686 "," $6,557,097 "," $6,296,272 "," $18,197 ", $115 ," $3,312,705 "," $861,597 ",,,,,," $32,253,944 "
PAYNE,,,,,,,,,,," $2,037,774 "," $524,768 ",,,,,," $2,562,542 "
PEABODY,,,,,,,,,,,,,,,," $6,685,699 "," $43,102 "," $6,728,801 "
PEABODY (CAPITOL HILL CLUSTER),,,,,,,,,,," $500,496 "," $230,245 ",,,,,," $730,742 "
"PHELPS ARCHITECTURE, CONSTRUCTION & ENGINEERING HIGH SCHOOL",,,,,," $515,192 "," $274,366 "," $2,691,472 "," $2,033 "," $(1,824,286)"," $57,714,682 "," $4,639,560 ",," $545,784 ",,,," $64,558,803 "
PLUMMER,,,,,,,,,,," $717,383 "," $64,462 ",,,,,," $781,845 "
POWELL,,,,,,,,,,," $1,448,470 "," $338,009 ",,," $277,002 "," $6,519,245 "," $905,292 "," $9,488,017 "
RABAUT,,,,,,,,,,,,," $71,000 ",,,,," $71,000 "
RANDLE HIGHLANDS,,," $4,881 "," $893,752 "," $7,651,348 "," $6,494,380 "," $1,916,431 "," $3,127,597 "," $70,408 "," $17,458 "," $1,548,183 "," $936,086 "," $(1,261)"," $198,849 ",,,," $22,858,111 "
RAYMOND,,,,,,,,,,," $3,248,972 "," $664,259 ",,,,,," $3,913,231 "
RIVER TERRACE,,,,,,,,,,," $341,487 "," $279,287 ",,,,," $407,035 "," $1,027,809 "
RON BROWN (ROPER),,,,,,,,,,," $8,709,483 "," $1,876,118 ",,,,,," $10,585,601 "
ROOSEVELT," $240,629 ",,,,,," $149,024 "," $388,276 ", $552 ," $53,504 "," $7,258,631 "," $1,555,027 ",," $531,934 "," $10,000 "," $3,015,129 "," $1,326,089 "," $14,528,795 "
ROSS,,,,,," $6,907 ",,,," $90,688 "," $642,659 "," $40,483 ",,," $1,756,542 "," $738,851 ",," $3,276,131 "
RUDOLPH (CLOSED),,,,,,,,,," $100,000 "," $506,646 "," $141,875 ",,,,,," $748,521 "
SAVOY,,,,,,,,,," $91,661 "," $12,095,726 "," $22,431,018 "," $3,074,476 "," $50,000 "," $(971,959)",,," $36,770,921 "
SCHOOL WITHOUT WALLS,,,,,,,,," $25,594 "," $710,592 "," $5,513,448 "," $29,867,657 "," $2,819,961 "," $4,920 "," $437,770 ",,," $39,379,943 "
SEATON,,,,,,,,,,," $1,877,928 "," $971,959 ",," $3,780,867 "," $518,058 ",,," $7,148,812 "
SHAED,,,,,,,,,,," $360,503 "," $319,897 ",,,,,," $680,401 "
SHARPE HEALTH," $387,354 ",,,,," $1,702,597 ",,,,," $1,718,696 "," $678,908 "," $2,400 ",,,,," $4,489,955 "
SHAW,,,,,,,,," $10,000 ",,,,,,,,," $10,000 "
SHEPHERD,,,,,,,,,,," $1,927,360 "," $891,746 ",,,," $10,366,110 "," $1,922,686 "," $15,107,901 "
SIMON,,,,,,,,,,," $2,691,132 "," $320,590 ",,," $4,458,177 "," $3,182,972 "," $44,344 "," $10,697,215 "
SLOWE,,,,,," $9,967 ",,," $50,000 ",," $551,494 "," $25,740 ",,,,,," $637,201 "
SMOTHERS,,,,,," $7,678 ",," $20,000 ",," $112,179 "," $3,341,153 "," $609,202 ",,,,,," $4,090,211 "
SOUSA,,,,," $55,576 "," $1,795,739 "," $250,976 "," $1,373,890 "," $6,230,556 "," $12,966,593 "," $8,291,384 "," $740,596 "," $57,283 "," $55,947 ",,,," $31,818,540 "
SPINGARN,,,,,,,,,,," $11,917,804 "," $1,429,788 ",,,,,," $13,347,592 "
STANTON,,,,,,,,,,," $5,547,596 "," $917,712 ",,,,,," $6,465,308 "
STEVENS,,,,,,,,,,," $1,502,882 "," $196,065 ",,,,,," $1,698,947 "
STODDERT,,,,,,,,,,," $2,424,900 "," $4,660,156 "," $16,027,922 "," $2,771,837 "," $140,617 ",,," $26,025,433 "
STUART-HOBSON (CAPITOL HILL CLUSTER) ,,,,,,,,,,," $1,158,079 "," $684,601 "," $974,071 "," $295,896 "," $9,881,105 "," $9,488,628 "," $1,662,573 "," $24,144,953 "
TAFT,,,,,,,,,,," $822,841 "," $86,334 ",,,,,," $909,175 "
TAKOMA,,,,,," $1,704,599 ",,, $127 ," $1,169 "," $1,076,518 "," $376,045 ",," $8,995,082 "," $16,190,422 ",,," $28,343,962 "
"TERRELL, R.H.",,,,,," $1,324,524 "," $121,691 ",,,,,,,,,,," $1,446,215 "
TERRELL-MCGOGNEY,,,,,," $1,704,722 ", $28 ,," $1,371 ",," $840,328 "," $468,759 ",,,,,," $3,015,208 "
THOMAS,,,,,,,, $357 ,,," $1,411,616 "," $232,590 "," $3,867,224 "," $638,492 ",," $466,680 "," $233,320 "," $6,850,280 "
THOMSON,,," $4,379 "," $134,570 "," $2,932,643 "," $4,719,402 "," $4,256,650 "," $12,222,305 "," $3,574,619 "," $505,409 "," $1,315,579 "," $278,325 ",," $2,084 ",,,," $29,945,965 "
TRANSITION ACADEMY AT SHADD,,,,,,,,,,," $334,720 "," $924,167 ",,,,,," $1,258,887 "
TRUESDELL,,,,,,,,,,," $2,429,278 "," $207,280 "," $3,229,013 "," $1,018,454 ",," $217,578 ",," $7,101,603 "
TUBMAN,,,,,,,,,,," $1,865,690 "," $4,495,891 "," $17,273 ",,,,," $6,378,853 "
TURNER,,,,,," $245,141 "," $29,427 "," $118,544 "," $10,000 "," $350,000 "," $536,833 "," $139,805 ",," $2,169,419 "," $21,258,074 "," $3,399,940 ",," $28,257,183 "
TURNER AT GREEN,,,,,,,,,,," $2,606,898 "," $1,947,227 ",,,,,," $4,554,124 "
TYLER,,,,,,,,,,," $1,143,671 "," $108,307 "," $4,131,276 "," $411,653 ",,,," $5,794,907 "
VAN NESS (CLOSED),,,,,,,,,,," $720,644 "," $92,837 ",,,,,," $813,481 "
Walker Jones Community School,,,,," $252,076 "," $1,368,731 "," $923,162 "," $13,823 "," $1,155,004 "," $439,974 "," $15,109,086 "," $23,541,826 "," $780,331 "," $629,276 "," $(305,598)",,," $43,907,691 "
WASHINGTON METRO. ALT. HS (KC Lewis),,,,,,,,,,," $1,490,333 "," $242,346 ",," $466,248 ",,,," $2,198,927 "
"WASHINGTON, M.M. (CLOSED)"," $1,536 ",,,,,,," $17,160 ",,," $394,806 "," $151,517 ",,,,,," $565,019 "
WATKINS (CAPITOL HILL CLUSTER),,,,,,,,,,," $773,237 "," $77,462 ",,,,,," $850,699 "
WEST,,,,,,,,,,," $2,730,716 "," $1,076,192 ",,,,,," $3,806,908 "
WHEATLEY-WEBB ,,,,,," $1,234,712 "," $2,158,395 "," $24,583 "," $676,477 "," $129,287 "," $15,513,438 "," $19,987,926 "," $5,119,878 "," $2,213,496 "," $869,588 "," $17,372 ",," $47,945,152 "
WHITTIER,,,,,,,,,,," $4,867,260 "," $332,418 "," $3,628,794 "," $612,686 "," $2,163,594 "," $64,538 ",," $11,669,290 "
WINSTON,,,,,,,,,,," $1,607,561 "," $737,459 ",,,,,," $2,345,020 "
WOODROW WILSON,,,,,,,,,,," $11,614,814 "," $1,294,687 "," $42,705,306 "," $72,582,497 "," $8,202,677 "," $503,849 ",," $136,903,830 "
"WOODSON, H.D.",,,,,,,,,,,," $3,364,419 "," $28,956,672 "," $60,901,186 "," $4,556,891 "," $394,817 ",," $98,173,986 "
"WOODSON, H.D. (DEMOLISHED TO BE REPLACED)",,,,,," $4,867,632 "," $577,138 "," $220,888 "," $287,759 "," $256,777 "," $3,302,480 "," $5,323,805 ",,,,,," $14,836,479 "
YOUNG (CLOSED),,,,,,,,,,," $348,833 "," $187,862 ",,,,,," $536,695 "
School specific TOTALS," $805,897 ",," $39,772 "," $5,600,234 "," $60,088,888 "," $148,065,454 "," $77,185,373 "," $109,146,355 "," $51,792,269 "," $45,083,391 "," $502,722,103 "," $348,930,190 "," $186,189,213 "," $256,209,946 "," $237,419,061 "," $326,312,033 "," $74,247,483 "," $2,429,837,661 "
Multi-School  Expenditures," $195,415,397 "," $24,024,127 "," $35,710,112 "," $117,168,110 "," $89,972,049 "," $86,654,765 "," $33,912,908 "," $31,016,136 "," $39,655,329 "," $85,210,322 "," $12,785,850 "," $238,865,221 "," $195,655,814 "," $143,832,109 "," $94,151,047 "," $86,151,158 "," $13,781,993 "," $1,523,962,446 "
Grand Total DCPS," $196,221,294 "," $24,024,127 "," $35,749,884 "," $122,768,344 "," $150,060,937 "," $234,720,219 "," $111,098,281 "," $140,162,491 "," $91,447,598 "," $130,293,713 "," $515,507,953 "," $587,795,410 "," $381,845,027 "," $400,042,055 "," $331,570,108 "," $412,463,190 "," $88,029,476 "," $3,953,800,108 "
