Owner Agency,Project ID,School,Description,Agency,FY-2009,FY-2010,FY-2011,FY-2012,FY-2013,FY-2014
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,TB237C,BURROUGHS ES ,MODERNIZATION/RENOVATION,DCPS,"$3,113,284","$1,437,984","$389,089",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,PB337C,BURRVILLE ES ,MODERNIZATION/RENOVATION,DCPS,,"$3,889,103","$127,124","-$1,250",,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,NX337C,CARDOZO HS,Unspecified,DCPS,,"$532,444","$4,151,237",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NX337C,CARDOZO HS ,MODERNIZATION/RENOV,DCPS,,,,"$26,384,564","$86,692,050","$8,036,859"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NX337C,CARDOZO HS ,MODERNIZATION/RENOV,DCPS,"$12,574",$191,$0,$0,$0,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,ND137C,COOKE ES,Unspecified,DCPS,"$8,552,040","$1,168,697",$29,"$443,604",,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,ND137C,COOKE ES,MODERNIZATION/RENOVATION,DCPS,"$8,679,505","$334,594","$2,820",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NX837C,COOLIDGE HS ,MODERNIZATION/RENOVATION,DCPS,,,,"$18,000",$0,$0
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,NX837C,COOLIDGE HS ,MODERNIZATION/RENOVATION,DCPS,,"$2,623,802","$328,814",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,ND437C,DEAL JHS,MODERNIZATION/RENOVATION,DCPS,,,,"$111,163","$46,668","$841,795"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,ND437C,DEAL JHS,MODERNIZATION/RENOVATION,DCPS,"$494,453","-$309,380","$48,997","-$1,065",$0,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,ND437C,DEAL JHS ,MODERNIZATION/RENOVATION,DCPS,"$23,381,527","$9,286,775","$1,107,039",$0,$0,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,PE337C,DREW ES, MODERNIZATION/RENOVATION,DCPS,,"$4,524,386","$770,398",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PE337C,DREW ES ,MODERNIZATION/RENOVATION,DCPS,,,,$0,"$292,479","$5,054"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SG413C,DUKE ELLINGTON,Unspecified,DCPS,"$44,498",$0,$0,$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SG413C,DUKE ELLINGTON,Unspecified,DCPS,,"$501,155","$9,285",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,MH137C,DUNBAR SHS, MODERNIZATION,DCPS,$0,"$374,022","$3,037,512",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,MH137C,DUNBAR SHS ,MODERNIZATION,DCPS,,,,"$33,279,396","$67,519,131","$6,000,766"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,MG237C,EASTERN HS,Unspecified,DCPS,,,,"$490,304","$25,636",
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,MG237C,EASTERN HS,Unspecified,DCPS,"$6,668,672","$65,668,633","$1,481,211","$168,615",,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SK126C,EATON ES ,ATHLETIC FACILITY,DCPS,,"$14,873","$16,512",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SK135C,ELLINGTON, FIELD,DCPS,,"$65,892","$362,761",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY159C,ELLINGTON ,MODERNIZATION/RENOVATION,DCPS,,,,"$7,000","$260,088","$867,865"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,TB337C,FEREBEE HOPE ES ,MODERNIZATION/RENOVATION,DCPS,"$3,917,263","$615,156",$0,,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NF310C,GARNETT PATTERSON,LIFE SAFETY CODE COMPL,DCPS,"-$160,715","$160,715",$0,,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NR638C,H.D. WOODSON SHS ,MODERNIZATION (NEW SCHO,DCPS,"$3,364,419","-$19,512","$111,198",$0,$0,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,NF937C,HARDY MIDDLE SCHOOL ,MODERNIZATION,DCPS,"$189,448","$587,651",$0,$0,$0,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NF937C,HARDY MS,MODERNIZATION/RENOV,DCPS,"$5,208,805","$24,926","$47,487",$0,$0,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NG337C,HART MS ,MODERNIZATION,DCPS,,,,"$1,236,648",$0,$0
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,NG337C,HART MS ,MODERNIZATION,DCPS,,"$911,973","$10,927,139",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY162C,HEARST ES ,MODERNIZATION/RENOVATION,DCPS,,,,"$572,787","$8,123,304","$1,881,385"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY163C,HENDLEY ES ,MODERNIZATION/RENOVATION,DCPS,,,,$0,"$14,886,502","$560,654"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NL938C,HILLTOP CAMPUS W/PHILPS VOCATIONAL SHS,Unspecified,DCPS,"$631,970",$0,$0,$0,$0,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SK129C,HOUSTON ES ,ATHLETIC FACILITY,DCPS,,"$27,911","$17,706",,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY164C,HYDE ES ,MODERNIZATION/RENOVATION,DCPS,,,,$0,$0,"$287,729"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,MJ137C,JANNEY ES ,MODERNIZATION/RENOVATION PROJE,DCPS,,,,"$2,612,043","$1,223,542","$51,162"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,MJ137C,JANNEY ES ,MODERNIZATION/RENOVATION PROJE,DCPS,,"$3,727,688","$22,659,145",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,MJ138C,JANNEY ES ,MODERNIZATION,DCPS,,,,,,"$353,999"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,JE337C,JEFFERSON MS ,RENOVATION,DCPS,,,,"$32,280",$0,$0
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,JE337C,JEFFERSON MS ,RENOVATION,DCPS,,,"$1,119,429",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,PW337C,JO WILSON ES, MODERNIZATION/RENOVATION,DCPS,,"$4,580,096","$967,152",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PW337C,JO WILSON ES ,MODERNIZATION/RENOVATION,DCPS,,,,"$275,108",$0,$0
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,ZBJ37C,JOHNSON ,QZAB AT JOHNSON - CAPITAL,DCPS-CAPITAL,,"$509,938",,,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,JOH37C,JOHNSON MS ,RENOVATION/MODERNIZATION,DCPS,,,,"$897,952","$3,253,247","$183,940"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,JOH37C,JOHNSON MS ,RENOVATION/MODERNIZATION,DCPS,,"$4,283,199","$427,011",$0,$0,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GI555C,KC LEWIS SCHOOL ,SMALL CAPITAL PROJECT,DCPS,,"$609,473","$466,248",,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY145C,KETCHAM ES ,MODERNIZATION/RENOVATION,DCPS,,,,"$6,747,467","$1,580,906",$318
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NI137C,KRAMER MS ,MODERNIZATION/RENOV,DCPS,"$172,488",,$0,$0,$0,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY186C,KRAMER MS ,MODERNIZATION/RENOVATION,DCPS,,,,$0,$0,"$451,663"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SK128C,LAFAYETTE ES ,ATHLETIC FACILITY,DCPS,,$0,"$4,722",,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SK127C,LANGDON ES ,ATHLETIC FACILITY,DCPS,,"$506,305","$109,358",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,LL337C,LANGLEY ES, MODERNIZATION/RENOVATION,DCPS,,,,"$1,153,785",$0,$0
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,LL337C,LANGLEY ES , MODERNIZATION/RENOVATION,DCPS,,,"$9,099,833",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY146C,LASALLE ES ,MODERNIZATION/RENOVATION,DCPS,,,,"$4,898,139","$1,166,936","$294,107"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY147C,LECKIE ES ,MODERNIZATION/RENOVATION,DCPS,,,,"$4,921,627","$2,657,774","$265,736"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,LO337C,LOGAN ES,RENOVATION,DCPS,,,,"$172,807",$0,$0
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,LO337C,LOGAN ES ,RENOVATION,DCPS,,,"$1,019,795",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY107C,LOGAN ES ,MODERNIZATION/RENOVATION,DCPS,,,,$0,$0,"$258,856"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY168C,LUDLOW-TAYLOR ES,MODERNIZATION/RENOVATIO,DCPS,,,,$0,"$10,764,854","$449,385"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NK537C,LUKE MOORE HS, MODERNIZATION/RENOVATION,DCPS,$0,$0,$53,$0,$0,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,NJ237C,MACFARLAND MS,Unspecified,DCPS,$0,"$68,834",$0,,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NJ237C,MACFARLAND MS,MODERNIZATION/RENOV,DCPS,"$12,155",,,,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,SK121C,MANN ES ,ATHLETIC FACILITY,DCPS,,"$11,311",,,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,YY169C,MANN ES ,MODERNIZATION/RENOVATION,DCPS,,,,"$451,305","$7,673,507","$1,117,820"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SK1MRC,MARIE REED ES ,(STADIUM),DCPS,,,,,"$543,701","$274,751"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PK337C,MARTIN LUTHER KING ES ,MODERNIZATION,DCPS,,,,"$30,465","$792,195","$11,662"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,PK337C,MARTIN LUTHER KING ES ,MODERNIZATION,DCPS,,"$3,456,621","$304,792",$0,,$0
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,MR337C,MAURY ES ,MODERNIZATION/RENOVATION,DCPS,,,,"$782,390","$1,000,000",$0
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,MR337C,MAURY ES ,MODERNIZATION/RENOVATION,DCPS,,,"$3,859,589",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SK1MYC,MAURY ES ,(PLAYGROUND),DCPS,,,,,$0,"$647,398"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NJ837C,MCKINLEY HS, MODERNIZATION/RENOVATION,DCPS,,,,,"$11,321,900","$1,478,405"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NJ847C,MCKINLEY MS ,MODERNIZATION,DCPS,,,,"$142,408","$332,417","-$1,945"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,MG637C,MONTGOMERY/KIPP ,EDUCATION CENTER EDUCATI,DCPS-PCS,,,,"$328,814",,$0
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,MG637C,MONTGOMERY/KIPP ,EDUCATION CENTER EDUCATI,DCPS-PCS,"$4,860,250",,$0,$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,MO337C,MOTEN ES ,MODERNIZATION/RENOVATION,DCPS,,,,"$20,883,252","$4,848,962","$957,864"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,MO337C,MOTEN ES ,MODERNIZATION/RENOVATION,DCPS,,,"$791,178",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,00PMIT,Multi School,PROJECT MANAGER,DCPS,,,,,"$110,433","$122,973"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,BF210C,Multi School,IT SYSTEMS,DCPS,,"$33,681",$0,,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GAHHSC,Multi School,HEALTHY SCHOOL YARDS,DCPS,,,,$0,"$594,875","$75,870"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GI010C,Multi School,SPECIAL EDUCATION CLASSROOMS,DCPS,,,,"$975,590","$2,134,334","$115,473"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GI520C,Multi School,GENERAL SMALL CAPITAL PROJECTS,DCPS,,,,"$46,576","$11,739","$4,385"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GI520C,Multi School,GENERAL SMALL CAPITAL PROJECTS,DCPS,"$1,275,927","$2,241,222","$892,599",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GI532C,Multi School,AUTISM SUITES,DCPS,,,,"$10,000",,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GI532C,Multi School,AUTISM SUITES,DCPS,,"$9,651","$328,991",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GI551C,Multi School,PREK CLASSROOM CONVERSIONS,DCPS,,,,"$23,442",,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GI551C,Multi School,PREK CLASSROOM CONVERSIONS,DCPS,,"$746,559","-$66,202",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GI553C,Multi School,MIDDLE SCHOOLS IT/ARTS AND SCIENCES PROJ,DCPS,,,,"$4,000",,$0
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GI553C,Multi School,MIDDLE SCHOOLS IT/ARTS AND SCIENCES PROJ,DCPS,,$0,"$582,137",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GI554C,Multi School,MIDDLE SCHOOL IT,DCPS,,,,"$67,281",$0,$0
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GI554C,Multi School,MIDDLE SCHOOL IT,DCPS,,"$77,114","$3,351,112",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GI571C,Multi School,DEMOUNTABLES,DCPS,,,"$858,008",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GI5NWC,Multi School,IT NETWORK UPGRADES -SCHOOLS,DCPS,,,,,"$247,930","$262,554"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GM0GA0,Multi School,SUMMER BLITZ FY 2007,DCPS,"$555,110",,$0,$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GM0HA1,Multi School,5 ATHLETIC FIELDS,DCPS,"$1,109,157","$291,527",$0,$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GM101C,Multi School,ROOF REPAIRS,DCPS,,,,"$863,902","$931,850","$175,441"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GM101C,Multi School,ROOF REPAIRS,DCPS,"$64,105","$1,452,150","$1,460,567",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GM102C,Multi School,BOILER REPAIR,DCPS,,,,"$12,043,377","$3,806,589","$351,236"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GM102C,Multi School,BOILER REPAIR,DCPS,"$7,515,735","$11,174,150","$11,192,342",$0,$0,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GM104C,Multi School,FIRE AND LIFE/SAFETY,DCPS,,,,"$22,032",,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GM104C,Multi School,FIRE AND LIFE/SAFETY,DCPS,"$5,803,368","$910,501","$165,749",$0,,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GM106C,Multi School,WINDOW AC UNITS,DCPS,,,,"$86,488",,
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GM106C,Multi School,WINDOW AC UNITS,DCPS,"$204,333",$0,"$611,441",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GM120C,Multi School,GENERAL MISCELLANEOUS REPAIRS,DCPS,,,,"$8,830,204","$4,027,067","$655,658"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GM120C,Multi School,GENERAL MISCELLANEOUS REPAIRS,DCPS,"$2,530,628","$2,497,869","$2,202,725",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GM121C,Multi School,MAJOR REPAIRS/MAINTENANCE,DCPS,,,,"$13,350,832","$1,075,936","$757,342"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GM121C,Multi School,MAJOR REPAIRS/MAINTENANCE,DCPS,"$16,667,072","$18,924,702","$19,431,335",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GM303C,Multi School,ADA COMPLIANCE,DCPS,,,,"$4,773","$510,330","$59,090"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GM303C,Multi School,ADA COMPLIANCE,DCPS,"$155,390",,"$2,500",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GM304C,Multi School,ELECTRICAL UPGRADES,DCPS,,,,"$2,544,338","$2,082,849","$179,089"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GM304C,Multi School,ELECTRICAL UPGRADES,DCPS,"$1,642,227","$4,377,615","$3,360,362",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GM308C,Multi School,PROJECT MANAGEMENT PROF. FEES & CONTINGE,DCPS,,,,$90,"$267,120","$85,662"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GM308C,Multi School,PROJECT MANAGEMENT/PROF. FEES,DCPS,"$9,005,774","$10,335,548","$4,116,968",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GM311C,Multi School,HIGH SCHOOL LABOR ; PROGRAM MANAGEMENT,DCPS,,,,"$808,912","$5,868,660","$1,723,369"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GM311C,Multi School,HIGH SCHOOL LABOR ; PROGRAM MANAGEMENT,DCPS,,,"$6,255,867","-$155,545","$155,545",
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GM312C,Multi School,ES/MS MODERNIZATION CAPITAL LABOR; PROG,DCPS,,,,"$676,955","$3,452,233","$319,224"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GM312C,Multi School,ES/MS MODERNIZATION CAPITAL LABOR; PROG,DCPS,,,"$4,071,344",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GM313C,Multi School,STABILIZATION CAPITAL LABOR; PROGRAM MG,DCPS,,,,"$764,375","$797,572","$290,381"
GM0-OFF PUBLIC ED FACILITIES MODERNIZATION,GM313C,Multi School,STABILIZATION CAPITAL LABOR ; PROGRAM MG,DCPS,,,"$1,658,311",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GM314C,Multi School,SELECTIVE ADDITIONS/NEW CONSTRUCTION LAB,DCPS,,,,$0,"$918,911","$26,279"
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GM703C,Multi School,TARGETED REPAIR INITIATIVE,DCPS,"$555,110",,$0,$0,$0,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,N5001C,Multi School,WIRELESS ACCESS AND NETWORK INFRASTRUCTU,DCPS,"$836,129","$876,245","$209,574",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,N5002C,Multi School,INFORMATION SECURITY INVESTMENT,DCPS,"$88,384","$196,760","$556,803",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,N5004C,Multi School,DCPS DCSTARS SOFTWARE REPLACEMENT,DCPS,"$2,634,340","$285,666",$0,$0,$0,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,N5005C,Multi School,IT SERVER OPERATIONS SUPPORT AND CONSOLI,DCPS,"$772,895","$20,901","$221,582",$0,$0,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,N5006C,Multi School,WEBSITE DEVELOPMENT AND ENHANCEMENTS,DCPS,"$204,359","$65,441",$0,$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,N5007C,Multi School,FILENET DEVELOPMENT AND IMPLEMENTATION,DCPS,"$78,078",$0,"$28,015",$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,N5009C,Multi School,BUILDING ACCESS SOLUTION,DCPS,"$350,386","$182,573","$141,380","$230,000","$12,528",$0
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,N5010C,Multi School,STUDENT ID SYSTEM,DCPS,"$359,123",$625,$0,$0,,
GA0-DISTRICT OF COLUMBIA PUBLIC SCHOOLS,N5011C,Multi School,PEOPLESOFT HARDWARE SOLUTION,DCPS,"$525,207","$218,885","$70,444","$159,975",$0,
