OBJECTID,NAME,ADDRESS,FACUSE,LEVEL_,STATUS,PHONE,UNGRADED,TOTAL_STUD,SSL,GIS_ID,WEB_URL,ADDR_ID,BLDG_NUM,SCH_PROG,CAPITALGAINS,CAPACITY,YEAR_BUILT,SQUARE_FOOTAGE,POPULATION_PLAN,POPULATION_ENROLLED_2008,X,Y,ADDRID,ZIP_CODE,LONGITUDE,LATITUDE
41,Duke Ellington School of the Arts,2501 11TH STREET NW,High School/Specialized,HS,Active,202-282-0123,1,517, ,dcps_471,http://www.ellingtonschool.org,242979,471,471,N,500,1898,167500,700,463,397694,139439.5,242979,20007,-77.026593,38.922826
42,Thomas Elementary School,650 ANACOSTIA AVENUE NE,Elementary School,ES,Active,202-724-4593,,235, ,dcps_325,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294493,325,325,N,636,1946,87600,325,287,404154.01,137048.33,294493,20019,-76.952111,38.901279
43,Nalle Elementary School,219 50TH STREET SE,Elementary School,ES,Active,202-671-6280,,327, ,dcps_288,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294474,288,288,N,460,1950,83900,400,383,406004.16,135348.37,294474,20019,-76.930797,38.885954
44,Marie Reed Elementary School,2201 18TH STREET NW,Elementary School,ES,Active,202-673-7308,0,357, ,dcps_284,http://www.dcps.dc.gov/DCPS/mariereed,310614,284,284,N,,,,,,396459.87,139027.66,310614,20009,-77.040822,38.919112
45,Orr Elementary School,2200 MINNESOTA AVENUE SE,Elementary School,ES,Active,202-671-6240,,308, ,dcps_291,http://orrelementary.com/,294539,291,291,N,,,,,,402214.23,133774.84,294539,20020,-76.974484,38.871797
46,H.D. Cooke Elementary School,2525 17TH STREET NW,Elementary School,ES,Active,202-939-5390,,396, ,dcps_227,http://www.dcps.dc.gov/DCPS/hdcooke,235863,227,227,N,,,,,,396634.55,139563.86,235863,20009,-77.038811,38.923943
47,Beers Elementary School,3600 ALABAMA AVENUE SE,Elementary School,ES,Active,202-939-4800,,386, ,dcps_206,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,278406,206,206,N,448,1942,77500,400,330,403852.94,132948.76,278406,20020,-76.955605,38.86435
48,Sousa Middle School,3650 ELY PLACE SE,Middle School,MS,Active,202-729-3260,,348, ,dcps_427,http://www.sousamiddleschool.org/,294584,427,427,N,,,,,,404064.1,135118.46,294584,20019,-76.953159,38.883894
49,Deal Middle School,3815 FORT DRIVE NW,Middle School,MS,Active,202-939-2010,,1014, ,dcps_405,http://www.dealpta.org,277548,405,405,N,900,1931,180000,850,,393481.78,142779.94,277548,20016,-77.075199,38.952897
50,Aiton Elementary School,533 48TH PLACE NE,Elementary School,ES,Active,202-671-6060,,269, ,dcps_202,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294490,202,202,N,479,1960,57100,400,357,405751.28,136574.53,294490,20019,-76.933701,38.897002
51,Drew Elementary School,5600 EADS STREET NE,Elementary School,ES,Active,202-671-6040,,181, ,dcps_231,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,277686,231,231,N,,,,,,406946.23,136463.61,277686,20019,-76.919927,38.895994
52,Luke C. Moore High School,1001 MONROE STREET NE,Youth Engagement,YE,Active,202-281-3600,0,293, ,dcps_884,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294504,884,884,N,,,,,,400666.21,140488.24,294504,20017,-76.992316,38.932276
53,Lafayette Elementary School,5701 BROAD BRANCH ROAD NW,Elementary School,ES,Active,202-282-0116,,707, ,dcps_261,http://www.lafayettehsa.org,294611,261,261,N,486,1931,113600,550,623,394103.71,144303.7,294611,20015,-77.068037,38.966628
54,Miner Elementary School,601 15TH STREET NE,Elementary School,ES,Active,202-397-3960,,469, ,dcps_280,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,289548,280,280,N,,,,,,401483,136614.12,289548,20002,-76.982904,38.897376
55,Hart Middle School,601 MISSISSIPPI AVENUE SE,Middle School,MS,Active,202-671-6426,,530, ,dcps_413,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspz,5534,413,413,Y,1110,1956,210700,550,524,400244.94,129993.71,5534,20032,-76.997179,38.837738
56,Whittier Education Campus,6201 5TH STREET NW,Elementary School,ES,Active,202-576-6156,,346, ,dcps_338,http://www.whittierdc.net,294614,338,338,Y,517,1926,66600,600,365,398332.71,144216.17,294614,20011,-77.019239,38.965857
57,Garrison Elementary School,1200 S STREET NW,Elementary School,ES,Active,202-673-7263,,237, ,dcps_239,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294509,239,239,N,474,1964,60200,325,240,397518.52,138448.81,294509,20009,-77.028613,38.913901
58,Woodson High School,540 55TH STREET NE,High School,HS,Active,202-724-4632,,810, ,dcps_426,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,309633,425,425,N,1085,1967,156000,450,263,406737.85,136551.42,309633,20016,-76.922328,38.896787
59,Wilson High School,3950 CHESAPEAKE STREET NW,High School,HS,Active,202-282-0120,4,1633,,dcps_463,http://www.wilsonhs.org/web/,294587,463,463,N,1485,1935,271300,1600,1557,393258.18,142475.96,294587,20016,-77.077776,38.950157
60,Stoddert Elementary School,4001 CALVERT STREET NW,Elementary School,ES,Active,202-671-6030,,347, ,dcps_321,http://www.stoddert.org,224730,321,321,N,213,1932,17400,325,260,393143.05,139466.38,224730,20007,-77.079074,38.923045
61,Amidon-Bowen Elementary School,401 I STREET SW,Elementary School,ES,Active,202-724-4867,0,254, ,dcps_203,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294482,203,203,N,438,1960,70800,400,227,398427.29,134631.47,294482,20024,-77.018125,38.879515
62,Simon Elementary School,401 MISSISSIPPI AVENUE SE,Elementary School,ES,Active,202-645-3360,,252, ,dcps_315,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294481,315,315,N,549,1950,66200,325,259,399983.07,129798.63,294481,20032,-77.000195,38.835981
63,Stuart-Hobson Middle School,410 E STREET NE,Middle School,MS,Active,202-671-6010,,403, ,dcps_428,http://www.capitolhillclusterschool.org/,294483,428,428,Y,460,1927,105900,450,393,399999.62,136494.28,294483,20002,-77.000004,38.896298
64,Janney Elementary School,4130 ALBEMARLE STREET NW,Elementary School,ES,Active,202-282-0110,,548, ,dcps_254,http://www.janneyschool.org/,285713,254,254,N,364,1925,98200,550,484,392978.88,142186.88,285713,20016,-77.080995,38.94755
65,Watkins Elementary School,420 12TH STREET SE,Elementary School,ES,Active,202-698-3355,,521, ,dcps_333,http://www.capitolhillclusterschool.org/,294486,333,333,N,578,1962,69300,550,538,400867.92,135070.02,294486,20003,-76.989997,38.883467
66,Leckie Elementary School,4201 MARTIN LUTHER KING JR AVENUE SW,Elementary School,ES,Active,202-645-3330,,361, ,dcps_266,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294592,266,266,N,471,1970,65000,400,302,398880.58,128934.66,294592,20032,-77.012892,38.828197
67,Stanton Elementary School,2701 NAYLOR ROAD SE,Elementary School,ES,Active,202-671-6180,,355, ,dcps_319,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294547,319,319,N,547,1944,83800,400,379,402734.84,132384.63,294547,20020,-76.96849,38.859272
68,Ludlow-Taylor Elementary School,659 G STREET NE,Elementary School,ES,Active,202-698-3244,0,258, ,dcps_271,http://www.ludlowtaylor.org,294494,271,271,N,,,,,,400304.26,136765.86,294494,20002,-76.996492,38.898744
69,J.O. Wilson Elementary School,660 K STREET NE,Elementary School,ES,Active,202-698-4733,0,382, ,dcps_339,http://www.dcps.dc.gov/jowilson,288841,339,339,N,412,1961,98900,400,360,400295.87,137211.43,288841,20002,-76.996589,38.902758
70,Shepherd Elementary School,7800 14TH STREET NW,Elementary School,ES,Active,202-576-6140,,331, ,dcps_313,http://www.shepherd-elementary.org,256319,313,313,N,332,1932,79700,400,312,397054.62,146297.53,256319,20012,-77.033995,38.984603
71,West Education Campus,1338 FARRAGUT STREET NW,Elementary School,ES,Active,202-576-6226,,244, ,dcps_336,http://www.westschool.org/,294517,336,336,N,281,1978,69600,450,190,397204.26,142607.98,294517,20011,-77.032253,38.951367
72,Powell Elementary School,1350 UPSHUR STREET NW,Elementary School,ES,Active,202-671-6270,,310, ,dcps_300,http://www.dcps.dc.gov/DCPS/powell,255302,300,300,N,304,1925,38500,325,258,397292.79,141516.39,255302,20011,-77.031227,38.941534
73,Eastern High School,1700 EAST CAPITOL STREET NE,High School,HS,Active,202-698-4500,,303, ,dcps_457,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,289529,457,457,N,1425,1923,288800,6,915,401762.5,135840.08,289529,20003,-76.979684,38.890403
74,Kramer Middle School,1700 Q STREET SE,Middle School,MS,Active,202-939-3150,,277, ,dcps_417,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,289467,417,417,N,655,1943,154000,550,340,401720.71,133718.02,289467,20020,-76.980171,38.871286
75,Ross Elementary School,1730 R STREET NW,Elementary School,ES,Active,202-673-7200,,157, ,dcps_305,http://www.rosselementary.org/,241714,305,305,N,,,,,,396560.15,138281.53,241714,20009,-77.039662,38.912391
76,Savoy Elementary School,2400 SHANNON PLACE SE,Elementary School,ES,Active,202-939-2000,0,344, ,dcps_307,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,278153,307,307,N,479,1968,64800,450,191,400555.08,132781.57,278153,20020,-76.993604,38.862852
77,Bancroft Elementary School,1755 NEWTON STREET NW,Elementary School,ES,Active,202-673-7280,,463, ,dcps_204,http://www.bancroftelementary.org,294528,204,204,N,527,1924,79800,450,451,396483.93,140715.67,294528,20010,-77.040553,38.934318
78,Hardy Middle School,1819 35TH STREET NW,Middle School,MS,Active,202-729-4350,,412, ,dcps_246,http://www.hardyms.org,274432,246,246,Y,,,,,,394049.46,138629.13,274432,20007,-77.068614,38.915509
79,Garfield Elementary School,2435 ALABAMA AVENUE SE,Elementary School,ES,Active,202-671-6140,,240, ,dcps_238,http://www.dcps.dc.gov/garfield,278160,238,238,N,446,1977,58908,400,322,402534.22,131547.71,278160,20020,-76.970805,38.851733
80,Walker-Jones Education Campus,1125 NEW JERSEY AVENUE NW,Education Campus,EC,Active,202-939-5934,,418, ,dcps_332,http://dcps.dc.gov/DCPS/walker-jones,307735,332,332,N,,,,,,398792.97,137370.7,307735,20001,-77.013916,38.904192
81,Tyler Elementary School,1001 G STREET SE,Elementary School,ES,Active,202-939-4810,,402, ,dcps_330,http://www.tylerelementary.net,294505,330,330,N,452,1949,69600,400,265,400690.52,134805.51,294505,20003,-76.992042,38.881084
82,School Without Walls High School,2130 G STREET NW,High School/Specialized,HS,Active,202-645-9690,19,527, ,dcps_466,http://www.swwhs.org/,242528,466,466,N,,1935,47200,,,395820.01,136698.13,242528,20037,-77.048186,38.898124
83,Houston Elementary School,1100 50TH PLACE NE,Elementary School,ES,Active,202-671-6170,,223, ,dcps_251,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,156316,251,251,N,507,1962,59900,325,289,406076.15,137508.74,156316,20019,-76.929948,38.905415
84,Barnard Elementary School,430 DECATUR STREET NW,Elementary School,ES,Active,202-576-1100,,482, ,dcps_205,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,248305,205,205,N,387,2003,,,,398458.99,142259.46,248305,20011,-77.017777,38.948231
85,Patterson Elementary School,4399 SOUTH CAPITOL TERRACE SW,Elementary School,ES,Active,202-939-5280,,320, ,dcps_294,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,301073,294,294,N,,2004,78300,368,,399263.25,128798.03,301073,20032,-77.008485,38.826966
86,Roosevelt High School,4301 13TH STREET NW,High School,HS,Active,202-576-6130,,497, ,dcps_459,http://roosevelt.k12.dc.us/,252605,459,459,N,1055,1932,331900,1100,845,397468.88,141682.3,252605,20011,-77.027776,38.943609
87,Smothers Elementary School,4400 BROOKS STREET NE,Elementary School,ES,Active,202-939-3600,,242, ,dcps_322,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294596,322,322,N,332,1923,43000,325,186,405337.95,136191.51,294596,20019,-76.938469,38.893554
88,Mann Elementary School,4430 NEWARK STREET NW,Elementary School,ES,Active,202-282-0126,,290, ,dcps_273,http://www.horacemanndc.org/,294597,273,273,N,,,,,,392385.28,140715.66,294597,20016,-77.087826,38.934292
89,Plummer Elementary School,4601 TEXAS AVENUE SE,Elementary School,ES,Active,202-939-4360,,220, ,dcps_299,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,19536,299,299,N,,,,,,405211.23,135490.54,19536,20019,-76.939935,38.88724
90,Burroughs Elementary School,1820 MONROE STREET NE,Elementary School,ES,Active,202-576-6150,,296, ,dcps_220,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294530,220,220,Y,474,1980,63900,450,240,401867.9,140624.56,294530,20018,-76.978456,38.933503
91,Cleveland Elementary School,1825 8TH STREET NW,Elementary School,ES,Active,202-939-4380,,301, ,dcps_224,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294531,224,224,N,,1911,54427,276,,398030.71,138586.76,294531,20001,-77.022707,38.915145
92,Eliot-Hine Middle School,1830 CONSTITUTION AVENUE NE,Middle School,MS,Active,202-939-5380,0,348, ,dcps_407,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,286499,407,407,Y,850,1931,155100,450,155,401823.73,136065.31,286499,20002,-76.978978,38.892431
93,Langdon Elementary School,1900 EVARTS STREET NE,Elementary School,ES,Active,202-576-6048,,404, ,dcps_262,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294532,262,262,N,528,1930,101400,450,408,401987.32,139647.88,294532,20018,-76.977082,38.924704
94,Ketcham Elementary School,1919 15TH STREET SE,Elementary School,ES,Active,202-698-1122,,256, ,dcps_257,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,286537,257,257,N,461,1909,88300,325,356,401421.44,133135.87,286537,20020,-76.983621,38.866043
95,Fillmore Arts Center (West),1819 35TH STREET NW,Arts Center,AC,Active,202-729-3796,0,0, ,dcps_923,http://www.fillmoreartscenter.org/,274432,0,0,N,,,,,,394049.46,138629.13,274432,20007,-77.068614,38.915509
96,Peabody Elementary School,425 C STREET NE,Elementary School,ES,Active,202-698-3277,,150, ,dcps_301,http://www.capitolhillclusterschool.org/,288145,301,301,N,,,,,,400012.32,136116.7,288145,20002,-76.999858,38.892896
97,McKinley Technology High School,151 T STREET NE,High School/Specialized,HS,Active,202-281-3950,0,670, ,dcps_458,http://mths.k12.dc.us/,296345,458,458,N,,,,,,399642.48,138594.83,296345,20002,-77.004122,38.91522
98,Anacostia High School,1601 16TH STREET SE,High School,HS,Active,202-698-2155,,784, ,dcps_450,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,155922,450,450,N,1040,1935,247900,1100,835,401468.56,133584.5,155922,20020,-76.983077,38.870084
99,Johnson Middle School,1400 BRUCE PLACE SE,Middle School,MS,Active,202-939-3140,0,252, ,dcps_416,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294520,416,416,N,,1969,277000,,,401414.57,131503.42,294520,20020,-76.983704,38.851337
100,Seaton Elementary School,1503 10TH STREET NW,Elementary School,ES,Active,202-673-7215,,265, ,dcps_309,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,279203,309,309,N,428,1969,65000,325,311,397841.92,138084.32,279203,20001,-77.024882,38.910619
101,Roosevelt STAY High School @ MacFarland,4400 IOWA AVENUE NW,Youth Engagement,STAY,Active,202-576-8399,497,497, ,dcps_913,http://www.dcps.dc.gov/DCPS/RSTAY,252605,459,459A,N,,,,,,397592.04,141746.55,294595,20011,-77.027776,38.943609
102,Wheatley Education Campus,1299 NEAL STREET NE,Education Campus,EC,Active,202-939-5970,,475, ,dcps_335,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294512,335,335,N,625,1960,103700,400,327,400997.43,137362.43,294512,20002,-76.988501,38.904118
103,Noyes Elementary School,2725 10TH STREET NE,Elementary School,ES,Active,202-281-2580,,352, ,dcps_290,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,289594,290,290,N,,,,,,400707.33,139700.26,289594,20018,-76.991843,38.925178
104,Benjamin Banneker High School,800 EUCLID STREET NW,High School/Specialized,HS,Active,202-671-6320,0,413, ,dcps_402,http://www.benjaminbanneker.org/,294496,402,402,N,620,1939,180000,500,391,397920.84,139551.17,294496,20001,-77.023977,38.923833
105,Burrville Elementary School,801 DIVISION AVENUE NE,Elementary School,ES,Active,202-671-6020,,368, ,dcps_221,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,289787,221,221,N,322,1980,95000,450,424,406552.65,136970.78,289787,20019,-76.924459,38.900566
106,Browne Education Campus,850 26TH STREET NE,Education Campus,EC,Active,202-671-6210,,384, ,dcps_404,http://www.dcps.dc.gov/DCPS/browne,294501,404,404,Y,835,1932,215400,750,211,402544.36,137194.17,294501,20002,-76.970667,38.902599
107,Raymond Education Campus,915 SPRING ROAD NW,Elementary School,ES,Active,202-576-6236,,442, ,dcps_302,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,226682,302,302,N,,,,,,397708.28,140880.94,226682,20010,-77.026433,38.935811
