"LEA ID
(SY14-15)","School ID(s)
(SY14-15)","School Name(s)
(SY14-15)",Grade Levels ,"School Address(es)
(SY14-15)","Former DCPS Facility Name 
(If applicable, SY14-15)","Maximum Occupancy
(SY14-15, Reported By PCSB)","Total Square Footage 
(SY14-15, Reported By PCSB)","Number of Students Enrolled, 
(SY14-15 Audited Enrollment from OSSE, reported by PCSB)"," Square Footage per Student
(Total Square Footage / Total Enrollment)","LEA Enrollment Ceiling
(As of Nov. 2014, Reported By PCSB)","Percentage of LEA Enrollment Ceiling Filled 
(LEA Enrollment / LEA Enrollment Ceiling)",FACILITY NOTES,,,,,
168,3068,BASIS DC PCS,MS/HS,"410 8th Street, NW",N/A," 	1,062 "," 	44,179 ", 	551 , 	80 , 	582 ,95%,,,,,,
107,142,"Bridges PCS; 1244 Taylor St., NW",ES,1244 Taylor Street. NW,N/A, 	155 ," 	10,776 ",,,,,These three addresses are considered as one school,,,,,
107,142,Bridges PCS; 1250 Taylor St. NW,ES,"1250 Taylor Street, NW",N/A, 	89 ," 	3,900 ", 	272 , 	14 , 	282 ,96%,These three addresses are considered as one school,,,,,
107,142,"Bridges PCS; 4300 13th St., NW",ES,"4300 13th Street NW
",Sharpe Health,"290
","6000
",,,,,These three addresses are considered as one school,,,,,
119,126,"Briya PCS* 1755 Newton St., NW (Bancroft)",ADULT,"1755 Newton Street, NW",Co-Locating in Bancroft ES,N/A,N/A,,N/A,,,"Adult program that simultaneously does early childhood.  Check for numbers, sq. footage at each location.  Enrollments are reported together.",,,,,
119,126,Briya PCS* 2333 Ontario Rd. NW ,ADULT,"2333 Ontario Road, NW (Main Office)",N/A,N/A,N/A, 	492 ,N/A, 	482 ,102%,"Adult program that simultaneously does early childhood.  Check for enrollment, sq. footage at each location.  Enrollments are reported together.",,,,,
119,126,Briya PCS* 3912 Georgia Ave. NW,ADULT,"3912 Georgia Avenue, NW",N/A, 	663 ," 	26,940 ",,N/A,,,"Check GA Ave. sq. footage.  Adult program that simultaneously does early childhood.  Check for numbers, sq. footage at each location.  Enrollments are reported together.",,,,,
108,1207,Capital City PCS (High School),HS,"102 Peabody Street, NW",,," 	57,033 ", 	329 , 	173 ,,,"973 students total for Rabaut - - 322 in the lower school; 320 in the MS; 329 in the HS; 531 sq. ft. per student is wrong - - should be about 176 sq. ft. per student; Total sq. ft. is 171,100.  This was divided in thirds for ES, MS and HS.",,,,,
108,184,Capital City PCS (Lower School),ES,"100 Peabody Street, NW",Rabaut," 	1,180 "," 	57,033 ", 	322 , 	177 ," 	1,000 ",97%,"971 students total for Rabaut - - 322 in the lower school; 320 in the MS; 329 in the HS; 531 sq. ft. per student is wrong - - should be about 176 sq. ft. per student; Total sq. ft. is 171,100.  This was divided in thirds for ES, MS and HS.",,,,,
108,182,Capital City PCS (Middle School,MS,"101 Peabody Street, NW",,," 	57,033 ", 	320 , 	178 ,,,"972 students total for Rabaut - - 322 in the lower school; 320 in the MS; 329 in the HS; 531 sq. ft. per student is wrong - - should be about 176 sq. ft. per student; Total sq. ft. is 171,100.  This was divided in thirds for ES, MS and HS.",,,,,
162,1119,Carlos Rosario International PCS* 514 V Street NE,ADULT,"514 V Street, NE",N/A, 	414 ," 	48,000 ",,,,,Enrollment is not divided between the programs; calls for this information have not been successful previously.  Adult program,,,,,
162,1119,Carlos Rosario International PCS*1100 Harvard St. NW,ADULT,"1100 Harvard Street, NW",Former UDC  building," 	1,200 "," 	84,000 "," 	1,973 ", 	58 ," 	1,950 ",101%,Enrollment is not divided between the programs; calls for enrollment information per building  have not been successful previously.  Adult program,,,,,
123,188,Cedar Tree Academy PCS,PK3-K,"701 Howard Road, SE",N/A, 	650 ," 	31,000 ", 	358 , 	87 , 	600 ,60%,,,,,,
156,1103,Center City PCS - Brightwood,ES/MS,"6008 Georgia Avenue, NW",N/A, 	567 ," 	37,010 ", 	248 , 	149 ," 	1,785 ",,,,,,,
156,1104,Center City PCS - Capitol Hill,ES/MS,"1503 East Capitol Street, SE",N/A, 	534 ," 	40,037 ", 	239 , 	168 ," 	1,785 ",,,,,,,
156,1105,Center City PCS - Congress Heights,ES/MS,"220 Highview Place, SE",N/A, 	341 ," 	27,000 ", 	257 , 	105 ," 	1,785 ",,,,,,,
156,1106,Center City PCS - Petworth,ES/MS,"510 Webster Street, NW",N/A, 	425 ," 	30,825 ", 	262 , 	118 ," 	1,785 ",,,,,,,
156,1107,Center City PCS - Shaw,ES/MS,"711 N Street, NW",N/A, 	350 ," 	29,240 ", 	241 , 	121 ," 	1,785 ",,,,,,,
156,1108,Center City PCS - Trinidad,ES/MS,"1217 W  Virginia Avenue, NE",N/A, 	434 ," 	23,313 ", 	236 , 	99 ," 	1,785 ",,,,,,,
109,153,Cesar Chavez PCS for Public Policy - Capitol Hill,HS,"709 12th Street, SE",N/A, 	430 ," 	40,000 ", 	358 , 	112 ," 	1,620 ",184%,,,,,,
109,127,Cesar Chavez PCS for Public Policy - Chavez Prep,MS,"770 Kenyon Street, NW",Bruce, 	420 ," 	36,059 ", 	331 , 	109 ,,,,,,,,
109,109,Cesar Chavez PCS for Public Policy - Parkside  High School,HS,"3701 Hayes Street,  NE",N/A, 	834 ," 	36,015 ", 	356 , 	101 ,,,"Chavez Parkside HS is LEA no. and School ID no. 109 according to the PCS enrollment data for 2014-15. Chavez Parkside HS and middle school enrollments were combined but I split out the enrollments; Total enrollment was 659 in 2014-15; total sq. footage is 66,880.  ",,,,,
109,102,Cesar Chavez PCS for Public Policy - Parkside  Middle School,MS,"3702 Hayes Street,  NE",,," 	30,870 ", 	303 , 	102 ,,,"Chavez Parkside HS is LEA no. and School ID no. 109 according to the PCS enrollment data for 2014-15. Chavez Parkside HS and middle school enrollments were combined but I split out the enrollments; Total enrollment was 659 in 2014-15; total sq. footage is 66,880.  ",,,,,
113,105,Community Academy PCS - Amos 1,ES,"1300 Allison Street, NW",Burdick and Annex, 	957 ," 	55,000 ", 	590 , 	93 ," 	4,570 ",61%,,,,,,
113,158,Community Academy PCS - Amos 2,ES,"33 Riggs Road, NE",Keene, 	600 ," 	50,600 ", 	329 , 	154 ,,,,,,,,
113,106,Community Academy PCS - Amos 5,ES,"1400 1st Street, NW",Armstrong ," 	1,020 "," 	100,000 ", 	523 , 	191 ,,,,,,,,
113,108,Community Academy PCS - CAPCS Online,ES/MS,"1351 Nicholson Street, NW",Old Brightwood School, 	217 ," 	20,100 ", 	123 , 	163 ,,,,,,,,
176,216,Community College Preparatory Academy PCS*,ADULT,"2405 Martin Luther King Jr. Avenue, SE",N/A, 	155 ," 	11,000 ", 	273 , 	40 , 	238 ,115%,Adult program,,,,,
169,3069,Creative Minds International PCS,ES,"3224 16th Street, NW",N/A, 	203 ," 	17,976 ", 	181 , 	99 , 	183 ,99%,Proposed enrollment ceiling increase to 234. Board will vote on increase to enrollment ceiling at December 15 meeting. ,,,,,
114,199,"DC  Bilingual PCS; 1420 Columbia Road, NW",ES,"1420 Columbia Road, NW",N/A, 	549 ," 	50,000 ", 	364 , 	206 , 	375 ,97%,"364 student total was distributed according to sq. ft. Check the sq. ft. for 3029 14th, which is above the CVS.  In Google maps it figures to only @11,000 sq. ft; this seems to be the entire building - - or they added in space used at Carlos Rosario?",,,,,
114,199,"DC  Bilingual PCS; 3029 14th St., NW",ES,"3029 14th Street, NW",N/A, 	260 ," 	25,000 ",,,,,"364 student total was distributed according to sq. ft. Check the sq. ft. for 3029 14th, which is above the CVS.  In Google maps it figures to only @11,000 sq. ft; this seems to be the entire building - - or they added in space used at Carlos Rosario?",,,,,
115,1110,DC  Prep PCS - Benning Elementary School,ES,"100 41st Street, NE",Benning, 	849 ," 	80,352 ", 	442 , 	182 ," 	1,350 ",34%,"Total enrollment given in original sheet was 594 for both Bening schools with 180 total sq. ft. per student at a total sq. ft. of 107,130.  Looks from Google Earth as if DC Prep added to Benning which started out at about 70,900 sq. ft.  Enrollment in 2014-015 was 442 ES and 152 MS;  Proposed enrollment ceiling increase to 1562. Board will vote on increase to enrollment ceiling at December 15 meeting.",,,,,
115,218,DC  Prep PCS - Benning Middle School,MS,"101 41st Street, NE",,," 	26,784 ", 	152 , 	176 ,,,"Total enrollment given in original sheet was 594 for both Bening schools with 180 total sq. ft. per student at a total sq. ft. of 107,130.  Looks from Google Earth as if DC Prep added to Benning which started out at about 70,900 sq. ft.  Enrollment in 2014-015 was 442 ES and 152 MS;  Proposed enrollment ceiling increase to 1562. Board will vote on increase to enrollment ceiling at December 15 meeting.",,,,,
115,130,DC Prep PCS - Edgewood (Elementary School),ES,"707 Edgewood Street, NE",N/A, 	499 ," 	50,050 ", 	432 , 	116 ," 	1,350 ",34%,Proposed enrollment ceiling increase to 1562. Board will vote on increase to enrollment ceiling at December 15 meeting.,,,,,
115,196,DC Prep PCS - Edgewood (Middle School),MS," 701 Edgewood Street, NE",N/A, 	340 ," 	39,746 ", 	294 , 	135 ," 	1,350 ",34%,Proposed enrollment ceiling increase to 1562. Board will vote on increase to enrollment ceiling at December 15 meeting.,,,,,
170,3070,DC Scholars PCS,ES,"5601 East Capitol Street, SE",Shadd, 	443 ," 	31,000 ", 	389 , 	80 , 	394 ,99%,,,,,,
179,234,Democracy Prep Congress Heights PCS,ES,"3100 Martin Luther King Jr. Avenue, SE",Old Congress Heights, 	890 ," 	42,528 ", 	620 , 	69 , 	675 ,92%,,,,,,
181,248,District of Columbia International School PCS,MS,"3220 16th Street, NW",N/A, 	308 ," 	20,217 ", 	210 , 	96 , 	215 ,98%,,,,,,
116,146,E.L. Haynes PCS - Georgia Avenue,MS,"3600 Georgia Avenue, NW",N/A, 	516 ," 	45,484 ", 	377 , 	121 ," 	1,200 ",,,,,,,
116,1207,E.L. Haynes PCS - Kansas Avenue  Elementary School,ES,"4502 Kansas Avenue, NW",,," 	53,800 ", 	358 , 	150 ,,,"Old Clark, used mainly by the Elementary school is 53,800 sq. ft.; so with the total at 71,447 sq. ft., the new HS addition must be 17,647 sq. ft.  Total enrollment for the Kansas Ave. school is 780 in 2014-15; with 92 sq. ft. per student.  Max occupancy is for the entire building.",,,,,
116,1138,E.L. Haynes PCS - Kansas Avenue  High School,HS,"4501 Kansas Avenue, NW",Clark, 	861 ," 	17,647 ", 	422 , 	42 ," 	1,200 ",,"Old Clark, used mainly by the Elementary school is 53,800 sq. ft.; so with the total at 71,447 sq. ft., the new HS addition must be 17,647 sq. ft.  Total enrollment for the Kansas Ave. school is 780 in 2014-15; with 92 sq. ft. per student.  Max occupancy is for the entire building.",,,,,
117,1125,Eagle Academy PCS - New Jersey Avenue,ES,"1017 New Jersey Avenue, SE",N/A, 	190 ," 	8,500 ", 	146 , 	58 , 	920 ,54%,,,,,,
117,195,Eagle Academy PCS - The Eagle Center at McGogney,ES,"3400 Wheeler Road, SE",MC Terrell-McGogney (McGogney building)," 	1,241 "," 	60,000 ", 	774 , 	78 , 	920 ,54%,,,,,,
118,138,Early Childhood Academy PCS; 4025 9th St. SE,ES,"4025 9th Street, SE",N/A, 	178 ," 	15,602 ", 	208 , 	75 ,,,The two addresses are reported as one enrollment: 259 students were allocated proptionately to the two buildings' sq. ft.  The 2 locations are nearby - - but come up as a pair of small bungalos in google maps - - OR the addresses are not accuratly coordinated with DC street addresss.,,,,,
118,138,Early Childhood Academy PCS; 4301 9th St. SE,ES,"4301 9th Street, SE ",N/A, 	122 ," 	4,012 ", 	52 , 	77 , 	300 ,17%,The two addresses are reported as one enrollment: 259 students were allocated proptionately to the two buildings' sq. ft.  The 2 locations are nearby - - but come up as a pair of small bungalos in google maps - - OR the addresses are not accuratly coordinated with DC street addresss.,,,,,
144,159,Elsie Whitlow Stokes Community Freedom PCS,ES,"3700 Oakview Terrace, NE",N/A, 	450 ," 	32,341 ", 	350 , 	92 , 	350 ,100%,,,,,,
158,1113,Excel Academy PCS  DREAM (PK3-3rd),ES,"2501 Martin Luther King Jr. Avenue, SE",Birney," 	1,292 "," 	67,508 ", 	569 , 	119 , 	750 ,76%,"Total 2014-15 enrollment was 724 at 120 sq. ft. per student total ; DREAM was 569 students; LEAD was 155 students; Total sq. ft. for Birney is  86,800 
",,,,,
158,1211,Excel Academy PCS LEAD (4th-6th),MS,"2502 Martin Luther King Jr. Avenue, SE",,," 	19,288 ", 	155 , 	124 ,,,"Total 2014-15 enrollment was 724 at 120 sq. ft. per student total ; DREAM was 569 students; LEAD was 155 students; Total sq. ft. for Birney is  86,800 
",,,,,
120,366,Friendship PCS  - Woodridge Middle,MS,"2960 Carlton Avenue, NE",Woodridge,,, 	168 ,,,,,,,,,
120,362,Friendship PCS - Blow-Pierce  Middle School,MS,"725 19th Street, NE",Blow-Pierce,,, 	213 , 	-00 ," 	5,340 ",328%,Blow Pierce was 592 total in 2014-15; 379 in the ES; 213 in MS; ,,,,,
120,361,Friendship PCS - Blow-Pierce Elementary School,ES,"725 19th Street, NE",Blow-Pierce, 	925 ," 	52,944 ", 	379 ,,,,Blow Pierce was 592 total in 2014-15; 379 in the ES; 213 in MS; ,,,,,
120,363,Friendship PCS - Chamberlain Elementary School,ES,"1345 Potomac Avenue, SE",Chamberlain CSHS," 	1,046 "," 	80,860 ", 	375 , 	216 ,,,"Chamberlain was 718 students total for 80,860 sq. ft. total; 375 students ES; 343 students in the MS in 2014-15. ",,,,,
120,364,Friendship PCS - Chamberlain Middle Schools,MS,"1345 Potomac Avenue, SE",Chamberlain CSHS,,, 	343 ,,,,"Chamberlain was 718 students total for 80,860 sq. ft. total; 375 students ES; 343 students in the MS in 2014-15. ",,,,,
120,186,Friendship PCS - Collegiate Academy,HS,"4095 Minnesota Avenue, NE",CG Woodson," 	1,500 "," 	152,000 ", 	883 , 	172 ," 	5,340 ",70%,,,,,,
120,113,Friendship PCS - Southeast Elementary Academy,ES,"645 Milwaukee Place, SE",N/A, 	950 ," 	58,539 ", 	576 , 	102 ," 	5,340 ",70%,,,,,,
120,1124,"Friendship PCS - Technology Preparatory Academy; 2705 MLK Jr. Ave., SE",MS/HS,"2705 Martin Luther King Jr. Avenue, SE",N/A, 	848 ," 	59,125 ",,,,,"2705 MLK Ave. SE seems to be a new building; don't have enrollment breakdown between  it and Tech Prep at 620 Milwaukee Pl, SE ; sq. ft.per student is total sq. ft. per total students. ",,,,,
120,1124,"Friendship PCS - Technology Preparatory Academy; 620 Milwaukee Pl, SE",MS/HS,"620 Milwaukee Place, SE",N/A, 	200 ," 	7,224 ", 	499 , 	89 ," 	5,340 ",70%,"2705 MLK Ave. SE seems to be a new building; don't have enrollment breakdown between  it and Tech Prep at 620 Milwaukee Pl, SE ; sq. ft.per student is total sq. ft. per total students. ",,,,,
120,365,Friendship PCS - Woodridge Elementary ,ES,"2959 Carlton Avenue, NE",Woodridge, 	600 ," 	37,000 ", 	284 , 	130 ," 	5,340 ",70%,Woodridge ES was 284; MS was  168; ; total 452; they share the same building,,,,,
180,245,Harmony DC PCS,ES,"62 T Street, NE",N/A, 	220 ," 	20,000 ", 	66 , 	303 , 	216 ,31%,,,,,,
121,131,Hope Community PCS - Lamond,ES,"6200 Kansas Avenue, NE",N/A, 	500 ," 	41,000 ", 	358 , 	115 ," 	1,080 ",,,,,,,
121,114,Hope Community PCS - Tolson,ES/MS,"2917 8th Street, NE",N/A, 	540 ," 	33,571 ", 	517 , 	65 ," 	1,080 ",,,,,,,
124,115,Howard University Middle School of Math and Science PCS,MS,"405 Howard Place, NW",N/A, 	435 ," 	20,968 ", 	294 , 	71 , 	500 ,59%,,,,,,
126,163,IDEA (Integrated Design & Electronic Academy) PCS,HS,"1027 45th Street, NE",Carver, 	490 ," 	70,000 ", 	217 , 	323 , 	600 ,36%,,,,,,
127,134,Ideal Academy PCS,ES/MS,"6130 N Capitol Street, NW",N/A, 	500 ," 	35,090 ", 	297 , 	118 , 	396 ,75%,"List stated this was ""Unknown former DCPS building"" but it was a commercial trash-transfer station where I used to take re-cycling so I made the correction.  ",,,,,
173,200,Ingenuity Prep PCS,ES,"4600 Livingston Road, SE",P.R. Harris, 	200 ," 	31,075 ", 	201 , 	155 , 	216 ,93%,"Shares PR Harris with Nat. Collegiate Prep. PR Harris is 348,700 total sq. ft. Proposed enrollment ceiling increase to 319. Board will vote on increase to enrollment ceiling at December 15 meeting.",,,,,
165,3064,Inspired Teaching Demonstration PCS,ES/MS,"200 Douglas Street, NE",Shaed, 	620 ," 	40,800 ", 	317 , 	129 , 	325 ,98%,Shares building with Lee Montessori,,,,,
129,1122,KIPP DC -  Discover Academy PCS; Douglass,PK3-K,"2600 Douglass Place, SE",Douglass,,, 	330 ,,,,"KIPP at Douglass had a total enrollment of 1,066 students in 2014-15 with 144,000 sq. ft. total and 1135 sq. ft. per student.  AIM had 321 students; Discover had 330 and Heights had 415.  ",,,,,
129,132,KIPP DC -  LEAP Academy PCS; ; Benning Rd.,PK3-K,"4801 Benning Road, SE",N/A,,, 	304 ,,,,"The total Benning Rd. KIPP had 1,038 students in 2014-15 for a total of 82 sq. ft. per student.  KEY had 334 students; LEAP had 304 students; Promise had 400. ",,,,,
129,237,KIPP DC -  Quest Academy PCS; Blaine St. (Richardson),ES,"5300 Blaine Street, NE",Richardson,," 	40,425 ", 	282 , 	143 ,,,"KIPP at Richardson (former Arts and Technology Academy) for the total school had 67,378 sq. ft. listed with total 494 students in 2014-15 and total 136 sq. ft. per student .  Arts and Technology added a wing to Richardson.   Enrollment apportioned across the  total sq. foorage.",,,,,
129,214,KIPP DC -  Spring Academy PCS; Mt. Olivet Rd. (Webb),ES,"1375 Mt Olivet Road, NE",Webb ,,, 	102 ,,,,"At Webb In 2014-15 KIPP Connect had 301 students; KIPP Spring had 102 students and KIPP Northeast Academy had 126.  Total 529 students and total 67,000 sq. ft with total 127 sq. ft. per student.  Old Webb was 103,700 sq. ft.  The footprint for this building appears to be a little bigger so the listed 67,000 sq. feet should be verified.",,,,,
129,116,KIPP DC - AIM Academy PCS; Douglass,MS,"2600 Douglass Place, SE",Douglass," 	1,900 "," 	144,000 ", 	321 , 	449 ,,,"KIPP at Douglass had a total enrollment of 1,066 students in 2014-15 with 144,000 sq. ft. total and 1135 sq. ft. per student.  AIM had 321 students; Discover had 330 and Heights had 415.  ",,,,,
129,236,KIPP DC - Arts & Technology Academy PCS; Blaine St. (Richardson),PK3-K,"5300 Blaine Street, NE",Richardson, 	764 ," 	26,950 ", 	212 , 	127 ," 	4,897 ",592%,"KIPP at Richardson (former Arts and Technology Academy) for the total school had 67,378 sq. ft. listed with total 494 students in 2014-15 and total 136 sq. ft. per student .  Arts and Technology added a wing to Richardson.   Enrollment apportioned across the  total sq. foorage.",,,,,
129,1123,KIPP DC - College Preparatory PCS ,HS,"1401 Brentwood Parkway, NE",Hamilton, 	500 ," 	187,423 ", 	454 , 	413 ," 	4,897 ",1669%,,,,,,
129,209,KIPP DC - Connect Academy PCS; Mt. Olivet Rd. (Webb),PK3-K,"1375 Mt Olivet Road, NE",Webb ," 	1,206 "," 	67,000 ", 	301 , 	223 ,,,"At Webb In 2014-15 KIPP Connect had 301 students; KIPP Spring had 102 students and KIPP Northeast Academy had 126.  Total 529 students and total 67,000 sq. ft with total 127 sq. ft. per student.  Old Webb was 103,700 sq. ft.  The footprint for this building appears to be a little bigger so the listed 67,000 sq. feet should be verified.",,,,,
129,1129,KIPP DC - Grow Academy PCS; ; P St. (Montgomery),PK3-K,"421 P Street, NW",Montgomery," 	1,195 "," 	100,671 ", 	312 , 	323 ,,,"At the Montgomery Bldg., Total sq. footage is 100,671 for total 958 students 2014-15 for a total 105  sq. ft per student for the entire building.; Grow was 312 students; LEAD was 302 students and WILL was 344 students. ",,,,,
129,3071,KIPP DC - Heights Academy PCS; Douglass,ES,"2600 Douglass Place, SE",Douglass,,, 	415 ,,,,"KIPP at Douglass had a total enrollment of 1,066 students in 2014-15 with 144,000 sq. ft. total and 1135 sq. ft. per student.  AIM had 321 students; Discover had 330 and Heights had 415.  ",,,,,
129,189,KIPP DC - KEY Academy PCS; ; Benning Rd.,MS,"4801 Benning Road, SE",N/A," 	1,608 "," 	84,681 ", 	334 , 	254 ,,,"The total Benning Rd. KIPP had 1,038 students in 2014-15 for a total of 82 sq. ft. per student.  KEY had 334 students; LEAP had 304 students; Promise had 400. ",,,,,
129,190,KIPP DC - LEAD Academy PCS; ; P St. (Montgomery),ES,"421 P Street, NW",Montgomery,,, 	302 ,,,,"At the Montgomery Bldg., Total sq. footage is 100,671 for total 958 students 2014-15 for a total 105  sq. ft per student for the entire building.; Grow was 312 students; LEAD was 302 students and WILL was 344 students. ",,,,,
129,242,KIPP DC - Northeast Academy PCS; Mt. Olivet Rd. (Webb),MS,"1375 Mt Olivet Road, NE",Webb ,,, 	126 ,,,,"At Webb In 2014-15 KIPP Connect had 301 students; KIPP Spring had 102 students and KIPP Northeast Academy had 126.  Total 529 students and total 67,000 sq. ft with total 127 sq. ft. per student.  Old Webb was 103,700 sq. ft.  The footprint for this building appears to be a little bigger so the listed 67,000 sq. feet should be verified.",,,,,
129,1121,KIPP DC - Promise Academy PCS; Benning Rd.,ES,"4801 Benning Road, SE",N/A,,, 	400 ,,,,"The total Benning Rd. KIPP had 1,038 students in 2014-15 for a total of 82 sq. ft. per student.  KEY had 334 students; LEAP had 304 students; Promise had 400. ",,,,,
129,121,KIPP DC - WILL Academy PCS; P St. (Montgomery),MS,"421 P Street, NW",Montgomery,,, 	344 ,,,,"At the Montgomery Bldg., Total sq. footage is 100,671 for total 958 students 2014-15 for a total 105  sq. ft per student for the entire building.; Grow was 312 students; LEAD was 302 students and WILL was 344 students. ",,,,,
130,193,Latin  American Montessori Bilingual PCS at 1800 Perry St. (Taft),ES,"1800 Perry Street, NE",Taft, 	220 ," 	20,200 ",,,,,Enrollment is reported together for both locations; shares Taft with Perry St. Prep.,,,,,
130,193,Latin American Montessori Bilingual PCS at MO. Ave.,ES,"1375 Missouri Avenue, NW",Miltary Road School, 	346 ," 	16,468 ", 	342 , 	93 , 	346 ,99%,Enrollment is reported together for both locations; ,,,,,
172,104,LAYC Career Academy PCS*,ALT,"3047 15th Street, NW",N/A, 	225 ," 	15,500 ", 	190 , 	82 , 	250 ,76%,Check sq. footage; shares space with The Next Step.  Adult program,,,,,
177,228,Lee Montessori PCS,ES,"301 Douglas Street, NE",Shaed, 	162 ," 	13,200 ", 	74 , 	178 , 	79 ,94%,Shares building with Inspired Teaching,,,,,
132,135,Mary McLeod Bethune Day Academy PCS,ES/MS,"1404 Jackson Street, NE",Slowe, 	450 ," 	56,927 ", 	381 , 	149 , 	500 ,76%,,,,,,
133,101,Maya Angelou PCS -Evans ,ALT,"5600 E Capitol Street, NE",Evans, 	646 ," 	78,625 ", 	252 , 	312 , 	550 ,46%,"Maya Angelou Evans in 2014-15 had 252 students; Maya Angelou Young Adult Center had 147 students.  Total facility sq. ft. is 125,800 with a total of 399 students at 315 sq. ft. per student. Facility includes an adult program.",,,,,
133,137,"Maya Angelou PCS -Young Adult Learning Center, Evans*",ADULT,"5600 E Capitol Street, NE",Evans,," 	47,175 ", 	147 , 	321 ,,,"Maya Angelou Evans in 2014-15 had 252 students; Maya Angelou Young Adult Center had 147 students.  Total facility sq. ft. is 125,800 with a total of 399 students at 315 sq. ft. per student. Facility includes an adult program.",,,,,
135,165,Meridian PCS,ES/MS,"2120 13th Street, NW",Harrison, 	718 ," 	61,900 ", 	639 , 	97 , 	855 ,75%,,,,,,
171,3065,Mundo Verde Bilingual PCS,ES,"30 P Street, NW",J.F. Cook ES, 	897 ," 	36,148 ", 	404 , 	89 , 	475 ,85%,"Check sq. footage; JF Cook was 43,500 sq. ft. but Mundo Verde added to it; Google maps shows nothing demolished.  36,148 sq. ft. looks like the size of the addition  - - total is probably more like 79,648 sq. ft.",,,,,
163,1120,National Collegiate Preparatory PCHS,HS,"4600 Livingston Road, SE",P.R. Harris, 	400 ," 	50,000 ", 	306 , 	163 , 	500 ,61%,"50,000 sq. ft. is part of PR Harris which is 348,700 total sq. ft.  Shares PR Harris with Ingenuity Prep. ",,,,,
137,169,Options PCS,MS/HS,"1375 E Street, NE",Kingsman," 	1,127 "," 	66,622 ", 	268 , 	249 , 	400 ,67%,,,,,,
138,222,Paul PCS - International High School,HS,"5800 8th Street, NW",Paul,," 	59,423 ", 	325 , 	183 ,,,"701 students total; 128,000 sq. ft. total in 2014-15 (HS addition opened 2015-16) ",,,,,
138,170,Paul PCS - International Middle School,MS,"5800 8th Street, NW",Paul, 	780 ," 	68,565 ", 	376 , 	182 , 	785 ,48%,"701 students total; 128,000 sq. ft. total in 2014-15 (HS addition opened 2015-16) ",,,,,
