Appendix 4: PCS Building Enrollment and Program Capacity Serving 6th-8th Grades in SY2014-15,,,,,,,,,
,,,,,,,,,
School ID,School Name,"School Address, SY14-15",Ward,"Grades 
Served","Total Building Enrollment, SY14-151","6th-8th Enrollment, SY14-15",% of Enrollment that is 6th-8th,"Programmatic Capacity, SY14-152",
3064,Inspired Teaching Demonstration PCS,200 Douglas Street NE,Ward 5,PK3-7th,317,13,4%,516,
116/1122/3071,KIPP DC – AIM Academy PCS; KIPP DC – Discover Academy PCS; KIPP DC – Heights Academy PCS,2600 Douglass Place SE,Ward 8,PK3-8th,"1,066",252,24%,"1,300",
209/214/242,KIPP DC – Connect Academy PCS; KIPP DC – Spring Academy PCS; KIPP DC – Northeast Academy PCS,1375 Mt Olivet Road NE,Ward 5,PK3-6th,529,72,14%,"1,000",
1129/190/121,KIPP DC – Grow Academy PCS; KIPP DC – Lead Academy PCS; KIPP DC – WILL Academy PCS,421 P St NW,Ward 6,PK3-8th,958,223,23%,"1,000",
189/132/1121,KIPP DC – KEY Academy PCS3; KIPP DC – LEAP Academy PCS; KIPP DC – Promise Academy PCS,4801 Benning Rd SE,Ward 7,5th-8th,"1,038",243,23%,"1,000",
135,Mary McLeod Bethune PCS – Slowe Campus,1404 Jackson Street NE,Ward 5,PK3-8th,381,74,19%,500,
165,Meridian PCS,2120 13th St NW,Ward 1,PK3-8th,639,131,21%,718,
169,Options PCS,1375 E Street NE,Ward 6,6th-12th,268,63,24%,268**,
170/222,Paul PCS – Middle School; Paul PCS – International High School,5800 8th St NW,Ward 4,6th-11th,701,376,54%,700***,
161,Perry Street Preparatory PCS (co-locating with LAMB PCS),1800 Perry Street NE,Ward 5,PK3-12th,619,130,21%,775*,
117,Potomac Preparatory PCS,4401 8th Street NE,Ward 5,PK3-8th,425,98,23%,525,
3067,Richard Wright PCS for Journalism and Media Arts,770 M Street SE,Ward 6,8th-12th,305,23,8%,400,
174,School for Educational Evolution and Development (SEED) PCS,4300 C Street SE,Ward 7,6th-12th,336,240,71%,421*,
187,Somerset PCS,3301 Wheeler Rd. SE,Ward 8,6th-9th,240,193,80%,850,
183,Tree of Life Community PCS,2315 18th Place NE,Ward 5,PK3-8th,286,40,14%,286**,
198,Two Rivers PCS,1234 4th St NE,Ward 6,6th-8th,137,137,100%,144,
125/1118,Washington Latin PCS – Middle School;  Washington Latin PCS – Upper School,5200 2nd Street NW,Ward 4,5th-12th,670,276,41%,685,
210,"William E. Doar, Jr. PCS for the Performing Arts",705 Edgewood St NE,Ward 5,PK3-8th,439,80,18%,624,
,Total,,,,"19,447","6,466",33%,"23,497",
,Notes: This appendix is organized at the building level and lists multiple addresses for each school's unique ID defined by OSSE's School and LEA Infromation Management System (SLIMS).,,,,,,,,
,"Source: OSSE audited enrollment of grades, SY14-15",,,,,,,,
,"1 Total building enrollment includes all grades in the facility, which can include more than 6-8 grades. ",,,,,,,,
,"2 PCS programmatic capacity reflects the maximum number of students that can be housed at the school building given the schools’ existing educational programs, class size, and staffing. PCS program capacities were self-reported by each public charter LEA in a survey for SY15-16 administered by PCSB and developed in partnership with the DME. The response rate for the program capacity survey question was 94%. ",,,,,,,,
,3 One student was mis-attributed to KIPP College Prep in the October 2014 OSSE Audited Enrollment file and was added to the KIPP Key Academy enrollment count.,,,,,,,,
,*PCSB inputted the program capacity for the schools that did not respond by taking  125% of the school's SY2014-15 audited enrollment. ,,,,,,,,
,"**In order to approximate SY14-15 programmatic capacities, there were instances where SY2015-16 self-reported program capacities could not be used because the school moved building locations between SY2014-15 and SY2015-16 or closed entirely in SY2015-16. In these instances, the DME used the school's 2014-15 audited enrollment figure as a proxy for program capacity for that SY14-15 building.",,,,,,,,
,***School recently completed renovations to the building that added space or acquired new space in the same building in SY15-16. ,,,,,,,,
,,,,,,,,,
