School Names,,Grade Levels for 15-16 school year feeder pattern,GSF (building),21CSF  sq ft,21CSF Comments about square footage,Major Project year completed,Current Replacement Value (CRV),2014 FCI (Incl Backlog),Foundations,Foundations Score,Basement Construction,Basement Score, Exterior Enclosure,Exterior Enc. Score, Roofing,Roofing Score,Interior Construction,Interior Const. Score,Stairs,Stairs Score,Interior Finishes,Interior Finishes Score,Conveying Systems,Conveying Systems Score,Plumbing,Plumbing Score,HVAC,HVAC Score,Fire Protection Systems,Fire Systems Score,Electrical Systems,Electrical Score,Site Improvements,Site Imp. Score,Site Civil/ Mechanical Utilities,Site Civil/Mech Utilities Score,Site Electrical Utilities,Electrical Utilities Score,General Requirements,Gen. Req. Score,Has A Carbon Monoxide Monitors,(DCPS FCI) FCI Base Year +1,(DCPS FCI) FCI Base Year +2,(DCPS FCI) FCI Base Year +3,(DCPS FCI) FCI Base Year +4,(DCPS FCI) FCI Base Year +5,(DCPS FCI) Base Year for FCI,(DCPS FCI) FCI Base Year,,Carbon Mon. Score,Converted Average,Standardized Facility Score,Row Labels,Type of Project,Sum of Expenditures through FY 2013,Sum of Expenditures in FY 2014,Sum of Expenditures in FY 2015,Total expenditures 1998-2015,Expenditures per 21CSF Gross sq ft ,Sum of Allotments  in FY 2016,Sum of Expenditures in FY 2016,Sum of FY 2017,Sum of FY 2018,Sum of FY 2019,Sum of FY 2020,Sum of FY 2021,Total FY16 Allotted and  FY17-21 Planned  Expenditures,Total Planned and Allotted FY16-21 per 21CSF GSF,Sum of Lifetime Budget,
BOWEN,CLOSED - MPD,NA,,"71,900",Building now renovated and used by the DC Police Dept. ; not in DCPS inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,BOWEN,STABILIZED,"$70,000","-$70,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,$0,
Brent,Brent Elementary School,ES," 	49,645 ","47,500",,," 	16,535,757 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.25,3,BRENT,PARTIAL MOD,"$4,475,354",$0,$0,"$4,475,354",$94,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$4,485,194",
Brightwood,Brightwood Education Campus,ES/MS," 	88,080 ","78,000","88,080 must reflect portables.",2005," 	29,337,686 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,0,BRIGHTWOOD,FULL MOD + ADD,"$22,265,461",$0,$0,"$22,265,461",$285,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$22,269,148",
Brookland ,Brookland Middle School ,MS,,"110,000",New 2015; the new middle school replaced old Brookland ES (which was for a few years was  consolidated as Brookland at Bunker Hill - - now Bunker Hill ES) ,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BROOKLAND,FULL REPLACEMENT,"$2,410,211","$42,959,203","$12,683,937","$58,053,351",$528,"-$800,000","-$402,174",$0,$0,$0,$0,$0,"-$1,202,174",-$10.93,"$62,711,400",
Browne,Browne Education Campus,ES/MS," 	190,308 ","215,392","190,308 is low; does it reflect that part of the building is closed off and un-used?",," 	63,387,789 ",1.89%,Good,1,Good,1,Good,1,Poor,5,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,N/A,FALSE,Good,1,Good,1,Good,1,Fair,3,Good,1,No,0.95%,0.02%,0.29%,0.00%,2.40%,2013,0.00%,0.0093096405894749,5,1.75,,BROWNE,STABILIZED,$0,$0,"$131,951","$131,951",$1,$0,$0,$0,$0,"$20,636,000",$0,$0,"$20,636,000",$95.81,"$23,793,129",
BRUCE-MONROE,DEMOLISHED,NA,,"110,700",Old Bruce Monroe was demolished; the school was moved into Park View as Bruce-Monroe @ Park View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRUCE MONROE @ PARKVIEW,DEMOLISHED,"$1,499,358",$0,$0,"$1,499,358",$18,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$1,499,358",
Bruce-Monroe @ Parkview,Bruce Monroe Elementary School @ Park View,ES," 	138,336 ","82,192","138,336 must have been intended for the demolished, open-space Bruce-Monroe; Program is now in the Park View Building which is  82,200 sq. ft.; 138,336  is larger than Banneker.   Old Bruce Monroe has been  listedconsistently in the past  at 110,700 sq. Ft.",," 	46,076,955 ",0.03%,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.35,3,BRUCE-MONROE,PARTIAL MOD,"$11,264,300",$0,$0,"$11,264,300",$102,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$17,026,865",
Bunker Hill,FORMER Brookland @ Bunker Hill ES/MS,ES," 	66,069 ","69,392",,," 	22,006,263 ",0.77%,Good,1,Good,1,Fair,3,Fair,3,Good,1,Good,1,Good,1,Unsatisfactory,FALSE,Good,1,Good,1,N/A,FALSE,Good,1,Fair,3,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.67,4,BUNKER HILL,PARTIAL MOD,"$6,056,150","$477,615",$0,"$6,533,765",$94,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$6,544,178",
Burroughs,Burroughs Education Campus,ES," 	64,088 ","69,696","69,696 must include the cafeteria addition",," 	21,346,431 ",0.19%,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,Fair,3,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.59,0,BURROUGHS,PARTIAL MOD + ADD,"$7,950,889","$288,005",$154,"$8,239,048",$118,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$8,866,114",
Burrville,Burrville Elementary School,ES," 	89,214 ","94,992","89,214  may include covered playspace; in that case, 89,214 is the better number.",," 	29,715,399 ",2.91%,Good,1,N/A,FALSE,Poor,5,Fair,3,Good,1,Good,1,Good,1,Good,1,Fair,3,Good,1,Fair,3,Good,1,Poor,5,Good,1,Good,1,Good,1,No,,,,,,,,,5,2.13,1,BURRVILLE,PARTIAL MOD,"$2,991,980",$0,$0,"$2,991,980",$31,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$2,996,347",
CARDOZO,,MS/HS,,"397,400",,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARDOZO,FULL MOD + ADD,"$120,799,387","$10,728,587",$0,"$131,527,974",$331,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$132,124,454",
Cleveland,Cleveland Elementary School,ES," 	54,207 ","53,000",,2004," 	18,055,268 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,5,CLEVELAND,FULL MOD + ADD,"$20,270,264",$0,$0,"$20,270,264",$382,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$20,270,264",
Cooke,H D Cooke Elementary School,ES," 	78,473 ","85,696",,2009," 	26,137,787 ",0.00%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,3,COOKE,FULL MOD + ADD,"$32,500,688",$0,$0,"$32,500,688",$379,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$32,500,688",
Coolidge,Coolidge High School,HS," 	316,763 ","271,300","Check to see if 271,300 includes the gym addition from the 1960s or 70s.",," 	105,507,420 ",3.17%,Good,1,Good,1,Fair,3,Poor,5,Poor,5,Poor,5,Fair,3,Poor,5,Fair,3,Poor,5,N/A,FALSE,Good,1,Fair,3,Good,1,Poor,5,Poor,5,No,1.81%,0.82%,0.20%,0.04%,0.70%,2013,0.00%,0.0135148261559178,5,3.50,4,COOLIDGE,STABILIZED,"$2,537,691",$0,$0,"$2,537,691",$9,"$2,000,000",$0,"$24,000,000","$26,440,000","$5,000,000","$59,193,000",$0,"$116,633,000",$429.90,"$122,176,717",
CW HARRIS,C W Harris Elementary School,ES," 	48,500 ","56,000","Is part of CW Harris closed off and is that reflected in the 48,500.  8,000 sq ft. difference",," 	16,154,380 ",4.65%,Good,1,N/A,FALSE,Good,1,Fair,3,Good,1,Good,1,Poor,5,N/A,FALSE,Fair,3,Good,1,N/A,FALSE,Fair,3,Fair,3,Good,1,Poor,5,Good,1,No,3.19%,1.08%,0.01%,0.19%,0.81%,2013,0.00%,0.0146342823432407,5,2.43,2,CW HARRIS,STABILIZED,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$12,606,000",$0,"$12,606,000",$225.11,"$12,606,000",
DCPS Multi-School,,NA,,"12,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCPS Multi-School,NA,"$1,294,021,600","$48,716,729","$49,685,964","$1,392,424,292",$116,"$42,849,086","$44,820","$41,365,000","$33,078,375","$40,399,005","$39,222,000","$45,211,251","$242,169,537",$20.18,"$1,669,108,197",
Deal,Deal Middle School,MS," 	168,649 ","223,689","223,689 Includes Rose Reno and the addition for Rose Reno.  Double check 181,805 for new Deal.",2009," 	56,173,609 ",0.00%,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.25,4,DEAL,FULL MOD + ADD,"$72,596,159","$900,856","$27,841","$73,524,856",$329,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$74,154,641",
Drew,Drew Elementary School,ES," 	62,807 ","72,800","62,807 may account for floors that are closed off or not used by Drew.",," 	20,919,756 ",3.53%,Good,1,N/A,FALSE,Good,1,Poor,5,Good,1,Good,1,Good,1,Fair,3,Fair,3,Good,1,N/A,FALSE,Fair,3,Fair,3,Good,1,Good,1,Good,1,No,,,,,,,,,5,2.07,2,DREW,PARTIAL MOD,"$4,716,263","$182,375",$0,"$4,898,637",$67,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$4,938,279",
DUNBAR,Dunbar High School - Omitted,HS,,"260,000","New 2013 - 260,000 does not include @ 20,000 for the parking garage",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DUNBAR,FULL REPLACEMENT,"$104,210,061","$17,114,332","$1,572,900","$122,897,293",$473,"-$250,000",$0,$0,$0,$0,$0,$0,"-$250,000",-$0.96,"$125,144,890",
Eastern,Eastern High School,HS," 	310,721 ","310,721","We had 288,000 for original; this must include 22,721 for the two atriums that covered the courtyards.",2010," 	103,494,951 ",0.03%,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.24,4,EASTERN,FULL MOD,"$74,503,071",-$197,$0,"$74,502,874",$240,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$74,503,071",
Eaton,Eaton Elementary School,ES," 	57,991 ","49,096","57,991 probably includes 1970's addition; check for portables.",," 	19,315,642 ",0.05%,Good,1,N/A,FALSE,Good,1,Fair,3,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,No,0.05%,0.00%,1.05%,0.29%,0.90%,2013,2.23%,0,5,1.40,2,EATON,STABILIZED,"$81,414",$0,$0,"$81,414",$2,$0,$0,$0,$0,$0,$0,"$15,552,000","$15,552,000",$316.77,"$15,633,414",
Eliot-Hine,Eliot Hine Middle School,MS," 	151,470 ","155,072",,," 	50,451,628 ",0.12%,Good,1,N/A,FALSE,Fair,3,Good,1,Good,1,Good,1,Fair,3,Good,1,Fair,3,Fair,3,N/A,FALSE,Fair,3,Fair,3,Good,1,Good,1,Good,1,No,0.12%,0.01%,2.55%,1.22%,0.11%,2013,0.05%,0,5,2.07,0,ELIOT-HINE,STABILIZED,$0,$0,"$210,957","$210,957",$1,"$1,500,000","-$210,957","$1,500,000",$0,"$16,500,000","$21,622,000",$0,"$40,911,043",$263.82,"$42,653,975",
Ellington,Ellington School of the Arts,HS," 	177,761 ","167,500","We've had 167,500; new school is planned for 258,00.; ",," 	59,208,634 ",2.01%,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.47,3,ELLINGTON,FULL MOD + ADD,"$3,200,112","$13,005,177","$17,876,152","$34,081,441",$203,"$48,524,778",$0,"$13,164,000",$0,$0,$0,$0,"$61,688,778",$368.29,"$180,437,856",
FEREBEE HOPE,CLOSED ES,NA,,"193,800",School closed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEREBEE HOPE,PARTIAL MOD,"$4,532,419",$0,$0,"$4,532,419",$23,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$4,532,419",
Francis/Stevens,Francis Stevens Education Campus,ES/MS," 	107,751 ","95,088",,," 	35,889,703 ",0.01%,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Fair,3,Fair,3,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,Good,1,No,0.01%,0.19%,0.67%,0.00%,0.25%,2013,0.00%,0,5,1.63,4,FRANCIS/STEVENS,STABILIZED,$0,$0,"$1,314,689","$1,314,689",$14,$0,$0,$0,$0,"$20,178,000",$0,$0,"$20,178,000",$212.20,"$22,278,000",
Garfield,Garfield Elementary School,ES," 	68,201 ","58,904",,," 	22,716,389 ",3.05%,Good,1,Good,1,Fair,3,Poor,5,Poor,5,Good,1,Fair,3,Poor,5,Fair,3,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Poor,5,No,0.42%,1.11%,0.00%,0.00%,0.34%,2013,0.00%,0.0263273735052613,5,2.63,5,GARFIELD,STABILIZED,$0,$0,"$1,082,203","$1,082,203",$18,$0,"$67,908",$0,$0,"$12,516,000",$0,$0,"$12,583,908",$213.63,"$14,338,493",
GARNETT PATTERSON,"FORMER MS, SWING SPACE",NA,,"82,700",used for swing space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GARNETT PATTERSON,STABILIZED,"$5,560,714",$0,$0,"$5,560,714",$67,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$5,560,714",
Garrison,Garrison Elementary School,ES," 	62,160 ","60,200",,," 	20,051,416 ",5.26%,Good,1,Good,1,Fair,3,Fair,3,Good,1,Good,1,Fair,3,N/A,FALSE,Fair,3,Poor,5,Good,1,Fair,3,Fair,3,Good,1,Good,1,Good,1,No,,,,,,,,,5,2.25,3,GARRISON,STABILIZED,$0,"$374,231","$281,415","$655,646",$11,"$20,000,000",$0,$0,$0,$0,$0,$0,"$20,000,000",$332.23,"$24,000,000",
GREEN,Malcolm X at Green ES,ES,,"77,700",Co-located: Malcolm X @ Green and Achievement Prep PCS; Green  has no project expense $ listed; Malcolm X has less than $1million.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GREEN,STABILIZED,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$52,963",
Hardy,Hardy Middle School,MS," 	106,341 ","107,200",,2008," 	35,420,060 ",0.00%,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Fair,3,No,,,,,,,,,5,1.50,3,HARDY,FULL MOD + ADD,"$50,758,871",$0,$0,"$50,758,871",$473,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$50,758,871",
Hart,Hart Middle School,MS," 	149,164 ","210,700","149,164  must reflect adjustment downward for an unused floor or wing.",," 	49,683,545 ",1.12%,Fair,3,Good,1,Poor,5,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,N/A,FALSE,Good,1,Fair,3,Good,1,Good,1,Good,1,No,1.11%,0.01%,0.00%,0.00%,0.80%,2013,0.00%,0.000104501399557134,5,1.80,5,HART,PARTIAL MOD,"$13,075,759",$0,$0,"$13,075,759",$62,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$13,214,760",
Hearst,Hearst Elementary School,ES," 	17,213 ","62,309","17,213 is the original building without demountables or addition. Main classroom addition is complete.  Total building will be 62,309 with gym/cafeteria additionto be  finished August 2015.",2016," 	5,733,306 ",1.62%,Good,1,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Poor,5,Good,1,Good,1,N/A,FALSE,Poor,5,Good,1,Good,1,Good,1,N/A,FALSE,No,,,,,,,,,5,1.93,5,HEARST,FULL MOD + ADD,"$8,696,091","$9,220,398","$17,762,217","$35,678,706",$573,"-$26,290","$387,567",$0,$0,$0,$0,$0,"$361,277",$5.80,"$43,433,519",
Hendley,Hendley Elementary School,ES," 	66,329 ","73,200",Phase I 2015; was there an addition?,," 	22,092,863 ",15.43%,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Poor,5,Good,1,Good,1,No,0.01%,0.03%,0.00%,0.11%,0.41%,2013,0.01%,0.154120152769768,5,1.67,3,HENDLEY,PARTIAL MOD,"$14,886,502","$901,291","$149,334","$15,937,127",$218,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$16,150,915",
Houston,Houston Elementary School,ES," 	48,544 ","59,896","Is the smaller sq. footage  of 48,544 due to a floor being closed off?",," 	16,169,036 ",7.95%,Good,1,N/A,FALSE,Poor,5,Fair,3,Good,1,Fair,3,Poor,5,N/A,FALSE,Fair,3,Fair,3,N/A,FALSE,Fair,3,Good,1,Good,1,Good,1,Good,1,No,0.30%,1.52%,1.78%,0.00%,2.03%,2013,0.00%,0.0765369677411656,5,2.57,2,HOUSTON,STABILIZED,$0,"$41,406","$1,149,626","$1,191,032",$20,$0,$0,"$15,693,000",$0,$0,$0,$0,"$15,693,000",$262.00,"$16,943,000",
HYDE-ADDISON,Hyde Addison Elementary School,ES," 	19,386 ","37,504","Hyde (21,329) + Addison (16,175 - check) should be about 37,500; modernization 2016-17  will add more space.",," 	6,457,089 ",2.23%,Good,1,Good,1,Fair,3,Fair,3,Good,1,Good,1,Good,1,Poor,5,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,1.40%,0.68%,0.93%,0.00%,1.24%,2013,0.00%,0.0082695593931487,5,1.71,5,HYDE-ADDISON,PARTIAL MOD,"$9,916,176","$8,036,784","$1,204,373","$19,157,333",$511,"$8,473,976",$0,"$13,811,000",$0,$0,$0,$0,"$22,284,976",$594.20,"$43,519,223",
Janney,Janney Elementary School,ES," 	71,785 ","96,083","Original was 43,400; addition in 2011 added  new sq. ft. is 41,639; parking is an additional 18,704 sq. ft. from Architects Devereaux and Parnell 11-2-11.   May 2010 OPEFM report has the original 43,400 gsf plus the 40,800 new addition; . Deanna Newman says 85,039 for new school opening 2011; with classroom addition it's 96,083.",2011 main school opened; addition opened 2013," 	23,910,148 ",0.00%,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,No,,,,,,,,,5,1.25,3,JANNEY,FULL MOD + ADD,"$30,222,418","$6,373,783","$847,124","$37,443,325",$390,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$37,949,758",
Jefferson,Jefferson Middle School,MS," 	103,576 ","108,992",,," 	34,499,094 ",1.53%,Good,1,Good,1,Fair,3,Fair,3,Poor,5,Good,1,Fair,3,Poor,5,Fair,3,Poor,5,N/A,FALSE,Fair,3,Fair,3,Good,1,Good,1,Fair,3,No,0.16%,0.88%,0.02%,0.00%,2.32%,2013,0.00%,0.0136869566170359,5,2.88,5,JEFFERSON,STABILIZED,$0,$0,$0,$0,$0,"$1,500,000",$0,"$1,500,000",$0,"$15,993,000","$17,000,000",$0,"$35,993,000",$330.24,"$35,993,000",
