Agency,MajorExp9815,TotalAllotandPlan1621,School,ProjectType,SubProject,Operator,,
PCS,2193975,23137730,Roots PCS,Annual Allotment,NA,Howard University Middle School of Math and Science,,
PCS,3476985,44821200,Latin American Montessori Bilingual (LAMB) PCS,Annual Allotment,NA,KIPP DC PCS,,
PCS,2499722.5,42486870,Latin American Montessori Bilingual (LAMB) PCS,Annual Allotment,NA,Potomac Lighthouse PCS,,
PCS,10447125,43666320,Two Rivers PCS,Annual Allotment,NA,KIPP DC PCS,,
PCS,4550750,28336660,Two Rivers PCS,Annual Allotment,NA,Washington Latin PCS,,
PCS,893305,8417500,D C  Bilingual PCS,Annual Allotment,NA,Briya Public Charter School,,
PCS,8904117.5,47245600,D C  Bilingual PCS,Annual Allotment,NA,Cesar Chavez PCS,,
PCS,13832720,15152610,Academy of Hope Adult PCS,Annual Allotment,NA,Youthbuild PCS,,
PCS,4922242.5,36794240,Academy of Hope Adult PCS,Annual Allotment,NA,D.C. Preparatory Academy PCS,,
PCS,14131140,7414660,Carlos Rosario International PCS Harvard Street Campus,Annual Allotment,NA,Hope Community Academy PCS,,
PCS,4670212.5,39881960,Carlos Rosario International PCS Harvard Street Campus,Annual Allotment,NA,KIPP DC PCS,,
PCS,14056687.5,18468760,Friendship PCS Tech Prep,Annual Allotment,NA,Maya Angelou PCS,,
PCS,5162877.5,32640780,Friendship PCS Tech Prep,Annual Allotment,NA,Ideal Academy PCS,,
PCS,11501572.5,43865970,Capital City High School PCS,Annual Allotment,NA,Mary McLeod Bethune PCS,,
PCS,13472947.5,41067080,Capital City High School PCS,Annual Allotment,NA,Maya Angelou PCS,,
PCS,1060990,2621240,AppleTree Early Learning PCS Southeast,Annual Allotment,NA,Early Childhood Academy PCS,,
PCS,14310605,12976910,AppleTree Early Learning PCS Southeast,Annual Allotment,NA,AppleTree Early Learning Center PCS,,
PCS,8059925,26326410,D C  Preparatory Edgewood Middle Campus PCS,Annual Allotment,NA,AppleTree Early Learning Center PCS,,
PCS,6961147.5,12908820,D C  Preparatory Benning Campus PCS,Annual Allotment,NA,Bridges PCS,,
PCS,8466570,53538220,Capital City Lower PCS,Annual Allotment,NA,E.L. Haynes PCS,,
PCS,10185232.5,21221510,D C Preparatory Benning Middle Campus,Annual Allotment,NA,Booker T. Washington PCS,,
PCS,6834610,7077920,Capital City Middle School,Annual Allotment,NA,Cesar Chavez PCS,,
PCS,9112080,36883960,Eagle Academy PCS New Jersey Avenue Campus,Annual Allotment,NA,Community Academy PCS,,
PCS,1878127.5,16052800,IDEA PCS,Annual Allotment,NA,Elsie Whitlow Stokes Community Freedom PCS,,
PCS,4964207.5,57381560,Center City Trinidad Campus PCS,Annual Allotment,NA,Hospitality PCS,,
PCS,12894522.5,6862490,Community Academy Amos I,Annual Allotment,NA,Perry Street Prep PCS,,
PCS,3919715,22289110,Friendship PCS Chamberlain Elementary,Annual Allotment,NA,IDEA PCS,,
PCS,12122195,16905980,Friendship PCS Chamberlain Middle,Annual Allotment,NA,Meridian PCS,,
PCS,4602690,2381360,Community Academy CAPCS Online,Annual Allotment,NA,The Next Step PCS,,
PCS,4439430,2281980,Options PCS,Annual Allotment,NA,Options PCS,,
PCS,3059477.5,7680130,KIPP DC Connect Academy,Annual Allotment,NA,Paul PCS,,
PCS,4264652.5,46976930,KIPP DC Spring Academy,Annual Allotment,NA,Roots PCS,,
PCS,1888885,57439450,KIPP DC Northeast Academy PCS,Annual Allotment,NA,SEED PCS of Washington DC,,
PCS,490695,25662380,AppleTree Early Learning Center PCS Lincoln Park,Annual Allotment,NA,District of Columbia Public Schools,,
PCS,6171765,7510100,Community Academy Butler Global,Annual Allotment,NA,Washington Mathematics Science Technology PCHS,,
PCS,8920827.5,34509340,KIPP DC College Prep PCS,Annual Allotment,NA,Arts and Technology PCS,,
PCS,7679027.5,38674200,Mary McLeod Bethune Day Academy PCS Slowe Campus,Annual Allotment,NA,Capital City PCS,,
PCS,8936175,1877010,Achievement Preparatory PCS-Elementary,Annual Allotment,NA,Tree of Life PCS,,
PCS,3005752.5,7686210,Center City Capitol Hill Campus PCS,Annual Allotment,NA,Capital City PCS,,
PCS,10455655,49995970,Perry Street Prep PCS,Annual Allotment,NA,Friendship PCS,,
PCS,12041772.5,14372580,Hospitality High School,Annual Allotment,NA,Somerset PCS,,
PCS,13673930,14904750,St. Coletta Special Education PCS,Annual Allotment,NA,Cedar Tree Academy Public Charter School,,
PCS,5519262.5,37235010,Washington Math Science Tech PCS,Annual Allotment,NA,KIPP DC PCS,,
PCS,14996075,21690690,Inspired Teaching Demonstration PCS,Annual Allotment,NA,KIPP DC PCS,,
PCS,9297475,58171830,Meridian PCS,Annual Allotment,NA,Thurgood Marshall Academy PCS,,
PCS,9982907.5,50882090,Center City Congress Heights Campus PCS,Annual Allotment,NA,Latin American Montessori Bilingual (LAMB) PCS,,
PCS,4220790,11570680,Washington Yu Ying PCS,Annual Allotment,NA,Eagle Academy PCS,,
PCS,9631977.5,26994130,Tree of Life Community PCS,Annual Allotment,NA,D.C. Preparatory Academy PCS,,
PCS,13539785,27923120,Community College Preparatory Academy PCS,Annual Allotment,NA,Sela PCS,,
PCS,333445,26676300,Thurgood Marshall Academy PCS,Annual Allotment,NA,Two Rivers PCS,,
PCS,4183977.5,15627190,Excel Academy PCS,Annual Allotment,NA,D.C. Bilingual PCS,,
PCS,9024215,13554040,Excel Academy PCS LEAD,Annual Allotment,NA,Ingenuity Prep PCS,,
PCS,8030112.5,40031770,KIPP DC AIM PCS Academy PCS,Annual Allotment,NA,KIPP DC PCS,,
PCS,11630490,48336010,KIPP DC Discover PCS,Annual Allotment,NA,William E. Doar Jr PCS,,
PCS,9511550,18502440,KIPP DC Heights Academy PCS,Annual Allotment,NA,KIPP DC PCS,,
PCS,7914835,33142330,AppleTree Early Learning Center PCS Columbia Heights,Annual Allotment,NA,Community College Preparatory Academy PCS,,
PCS,7777740,33751620,Hope Community PCS Tolson Campus,Annual Allotment,NA,Achievement Preparatory Academy PCS,,
PCS,1147097.5,44784060,Friendship PCS Woodridge Elementary,Annual Allotment,NA,D.C. Preparatory Academy PCS,,
PCS,7722475,43068390,Friendship PCS Woodridge Middle,Annual Allotment,NA,Paul PCS,,
PCS,9353215,53124850,Mundo Verde Bilingual PCS,Annual Allotment,NA,Friendship PCS,,
PCS,3964355,38451430,Lee Montessori PCS,Annual Allotment,NA,Friendship PCS,,
PCS,6754325,38980680,Youthbuild PCS,Annual Allotment,NA,Friendship PCS,,
PCS,11046952.5,14708600,Latin American Youth Center Career Academy,Annual Allotment,NA,Friendship PCS,,
PCS,8972002.5,8471670,The Next Step PCS,Annual Allotment,NA,Friendship PCS,,
PCS,1859927.5,53009950,Democracy Prep PCS-Congress Heights,Annual Allotment,NA,Friendship PCS,,
PCS,2175447.5,25514530,AppleTree Early Learning Center PCS Oklahoma,Annual Allotment,NA,St. Coletta Special Education PCS,,
PCS,6570765,51609650,District of Columbia International School,Annual Allotment,NA,Achievement Preparatory Academy PCS,,
PCS,10872625,7861800,Creative Minds International PCS,Annual Allotment,NA,Center City PCS,,
PCS,1412887.5,15330010,Community Academy Amos II,Annual Allotment,NA,Center City PCS,,
PCS,13694437.5,17160200,Somerset PCS,Annual Allotment,NA,Center City PCS,,
PCS,1455745,59533460,Eagle Academy PCS - Eagle Center at McGogney,Annual Allotment,NA,Center City PCS,,
PCS,1678105,55070950,E L  Haynes PCS Georgia Avenue,Annual Allotment,NA,Center City PCS,,
PCS,14079860,30019050,Elsie Whitlow Stokes Community Freedom PCS,Annual Allotment,NA,Center City PCS,,
PCS,9058985,39944520,Cesar Chavez PCS Parkside Upper,Annual Allotment,NA,Community Academy PCS,,
PCS,10444055,49966760,Cesar Chavez Parkside MS PCS,Annual Allotment,NA,D.C. Preparatory Academy PCS,,
PCS,1735865,56376020,Howard University Middle School of Math and Science PCS,Annual Allotment,NA,Excel Academy PCS,,
PCS,7046922.5,26735240,Friendship PCS Woodson Collegiate Academy,Annual Allotment,NA,Imagine Southeast PCS,,
PCS,13576550,12306570,Basis DC PCS,Annual Allotment,NA,Washington Yu Ying PCS,,
PCS,2416337.5,42191700,KIPP DC WILL Academy PCS,Annual Allotment,NA,Washington Latin PCS,,
PCS,861112.5,9640420,KIPP DC LEAD Academy,Annual Allotment,NA,Carlos Rosario International PCS,,
PCS,14919545,45366180,KIPP DC GROW Academy PCS,Annual Allotment,NA,National Collegiate Preparatory PCS,,
PCS,14476285,57751020,School for Educational Evolution and Development (SEED) PCS,Annual Allotment,NA,KIPP DC PCS,,
PCS,1274365,13455100,Potomac Preparatory PCS,Annual Allotment,NA,KIPP DC PCS,,
PCS,12553060,26346570,E.L. Haynes Kansas Avenue - High School,Annual Allotment,NA,KIPP DC PCS,,
PCS,10069457.5,17361030,Ingenuity Prep PCS,Annual Allotment,NA,Friendship PCS,,
PCS,785535,54874890,National Collegiate Prep PCS,Annual Allotment,NA,Eagle Academy PCS,,
PCS,13431297.5,12291810,KIPP DC LEAP Academy PCS,Annual Allotment,NA,KIPP DC PCS,,
PCS,12131965,56314430,KIPP DC KEY Academy PCS,Annual Allotment,NA,AppleTree Early Learning Center PCS,,
PCS,11980492.5,30242130,KIPP DC Promise PCS,Annual Allotment,NA,E.L. Haynes PCS,,
PCS,12584700,2056440,Center City Petworth Campus PCS,Annual Allotment,NA,E.L. Haynes PCS,,
PCS,793840,54592500,Washington Latin PCS MS,Annual Allotment,NA,Capital City PCS,,
PCS,6090085,22976990,Washington Latin PCS HS,Annual Allotment,NA,Inspired Teaching Demonstration PCS,,
PCS,6186635,19501320,KIPP DC Arts & Technology Academy PCS,Annual Allotment,NA,Mundo Verde Bilingual PCS,,
PCS,9205752.5,59861250,KIPP DC Quest Academy PCS,Annual Allotment,NA,Shining Stars Montessori PCS,,
PCS,14095085,29273700,Maya Angelou Evans Campus PCS,Annual Allotment,NA,Richard Wright PCS for Journalism and Media Arts,,
PCS,14794537.5,10473220,Maya Angelou Young Adult Learning Center,Annual Allotment,NA,Basis DC PCS,,
PCS,10213890,14788590,DC Scholars PCS,Annual Allotment,NA,Creative Minds International PCS,,
PCS,1082390,46736780,Paul Public Charter School - Middle School,Annual Allotment,NA,DC Scholars PCS,,
PCS,5307257.5,48128170,Paul Public Charter School - International High School,Annual Allotment,NA,KIPP DC PCS,,
PCS,11477985,32316990,Center City Brightwood Campus PCS,Annual Allotment,NA,AppleTree Early Learning Center PCS,,
PCS,14280430,50850890,Sela PCS,Annual Allotment,NA,AppleTree Early Learning Center PCS,,
PCS,11304982.5,20439240,Shining Stars Montessori PCS,Annual Allotment,NA,DYRS,,
PCS,9676812.5,40261250,Ideal Academy PCS North Capitol Street Campus ES,Annual Allotment,NA,KIPP DC PCS,,
PCS,14604117.5,47408840,Harmony DC PCS-School of Excellence,Annual Allotment,NA,Maya Angelou PCS,,
PCS,12579127.5,14523250,Hope Community PCS Lamond Campus,Annual Allotment,NA,Ideal Academy PCS,,
PCS,10435695,58388370,Friendship PCS SouthEast Academy,Annual Allotment,NA,Mary McLeod Bethune PCS,,
PCS,1037035,36141480,Cedar Tree Academy PCS,Annual Allotment,NA,Maya Angelou PCS,,
PCS,521472.5,59234260,William E. Doar Jr PCS,Annual Allotment,NA,Early Childhood Academy PCS,,
PCS,11338137.5,11752760,D C  Preparatory Edgewood Elementary Campus PCS,Annual Allotment,NA,AppleTree Early Learning Center PCS,,
PCS,5254050,5479010,Cesar Chavez Capitol Hill PCS,Annual Allotment,NA,AppleTree Early Learning Center PCS,,
PCS,11797977.5,17961170,Center City Shaw Campus PCS,Annual Allotment,NA,Bridges PCS,,
PCS,12527420,13725740,Friendship PCS Blow Pierce Elementary,Annual Allotment,NA,E.L. Haynes PCS,,
PCS,11262682.5,2233220,Friendship PCS Blow-Pierce Middle,Annual Allotment,NA,Booker T. Washington PCS,,
PCS,7706910,37897930,Cesar Chavez PCS Chavez Prep,Annual Allotment,NA,Cesar Chavez PCS,,
PCS,3622537.5,43819580,Richard Wright PCS for Journalism and Media Arts,Annual Allotment,NA,Community Academy PCS,,
PCS,12764190,20679800,AppleTree Early Learning Center PCS Southwest,Annual Allotment,NA,Elsie Whitlow Stokes Community Freedom PCS,,
PCS,7077600,4155050,Achievement Preparatory PCS-Middle School,Annual Allotment,NA,Hospitality PCS,,
DCPS,4052.727273,19384000,Aiton Elementary School,PARTIAL MOD,NA,NA,,
DCPS,2034251.818,0,Brent Elementary School,PARTIAL MOD,NA,NA,,
DCPS,1359990.909,0,Burrville Elementary School,PARTIAL MOD,NA,NA,,
DCPS,9213756.364,0,Cleveland Elementary School,PARTIAL MOD,NA,NA,,
DCPS,10594517.73,3465030.4,Stanton Elementary School,PARTIAL MOD,NA,NA,,
DCPS,16217593.64,578043.2,Hearst Elementary School,PARTIAL MOD,NA,NA,,
DCPS,15491564.09,98702044.8,Ellington School of the Arts,PARTIAL MOD,NA,NA,,
DCPS,305047.2727,123318400,Benjamin Banneker High School,PARTIAL MOD,NA,NA,,
DCPS,0,0,"Phelps Architecture, Construction, and Engineering High School",PARTIAL MOD,NA,NA,,
DCPS,3866050.455,0,Simon Elementary School,PARTIAL MOD,NA,NA,,
DCPS,51930070.91,0,Wilson High School,PARTIAL MOD,NA,NA,,
DCPS,1954056.818,0,Seaton Elementary School,PARTIAL MOD,NA,NA,,
DCPS,0,0,Luke C. Moore High School,PARTIAL MOD,NA,NA,,
DCPS,17019693.18,0,Janney Elementary School,PARTIAL MOD,NA,NA,,
DCPS,5237003.182,0,Nalle Elementary School,PARTIAL MOD,NA,NA,,
DCPS,19384346.82,0,Wheatley Education Campus,PARTIAL MOD,NA,NA,,
