Agency,School,Address,maxOccupancy,ProjectPhase,YrComplete,Level,totalSQFT,ProjectType,MajorExp9815,TotalAllotandPlan1621,LifetimeBudget,unqBuilding,longitude,latitude,Ward,FeederMS,FeederHS,Total.Enrolled,Limited.English.Proficient,At_Risk,SPED,AtRiskPer,SPEDPer,ESLPer,SqFtPerEnroll,SpentPerMaxOccupancy,SpentPerSqFt,YearsOpen,Open,Open.Now,AnnualExpenseAverage,AnnualSpentPerMaxOccupany,AnnualSpentPerSqFt,
PCS,AppleTree Early Learning Center PCS Southwest,"801 7th Street, SW",158,NA,NA,PK3-K," 	6,162 ",Facility Allowance,736320,NA,NA,1,-77.0229317,38.8798501,6,NA,NA,86,4,41,2,0.476744186046512,0.0232558139534884,0.0465116279069767,72,4660.25316455696,119,4,2012,1,184080,1165.06329113924,29.873417721519,
PCS,AppleTree Early Learning PCS Southeast,"2011 Savannah Terrace, SE",230,NA,NA,PK3-K," 	17,161 ",Facility Allowance,1560816,NA,NA,0,-76.972974,38.8494641,8,NA,NA,178,1,129,4,0.724719101123595,0.0224719101123595,0.00561797752808989,96,6786.15652173913,91,4,2012,1,390204,1696.53913043478,22.7378357904551,
PCS,AppleTree Early Learning PCS Southeast,"2017 Savannah Terrace, SE",230,NA,NA,PK3-K," 	17,161 ",Facility Allowance,1560816,NA,NA,0,-76.9746704,38.8485617,8,NA,NA,178,1,129,4,0.724719101123595,0.0224719101123595,0.00561797752808989,96,6786.15652173913,91,4,2012,1,390204,1696.53913043478,22.7378357904551,
DCPS,Ballou HS,3401 4th St  SE,1520,Full,2015,HS," 	356,000 ",FULL REPLACEMENT," $	141,737,725 ",4007,162976011,0,-77.000975263,38.839382331,8,.,,755,0,644,276,0.852980132450331,0.365562913907285,0,472,93248.5032894737,398,NA,NA,1,NA,NA,NA,
DCPS,Ballou STAY,3401 4th St  SE,,Full,2015,HS, 	-   ,, $	-   ,0,0,0,-77.000975263,38.839382331,8,NA,NA,591,0,0,52,0,0.0879864636209814,0,602,93248.5032894737,398,NA,NA,1,NA,NA,NA,
DCPS,Bancroft ES,1755 Newton St  NW,563,Phase 0,NA,ES," 	79,792 ",STABILIZED,1446450,59943000,66496000,1,-77.040553444,38.934318023,1,Deal MS,Wilson HS,508,279,181,54,0.356299212598425,0.106299212598425,0.549212598425197,157,2569.18294849023,18,NA,NA,1,NA,NA,NA,
DCPS,Barnard ES,430 Decatur St  NW,486,Full,2003,ES," 	72,496 ",FULL REPLACEMENT,17867772,0,17867772,1,-77.01777708,38.948230613,4,Truesdell or West EC (6th-8th),Roosevelt HS,602,193,284,72,0.471760797342193,0.119601328903654,0.320598006644518,120,36764.962962963,246,NA,NA,1,NA,NA,NA,
PCS,Basis DC PCS,"410 8th Street, NW",1062,NA,NA,MS/HS," 	44,179 ",Facility Allowance,4551672,NA,NA,1,-77.0233079,38.8953055,6,NA,NA,551,0,48,23,0.0871143375680581,0.0417422867513612,0,80,4285.94350282486,103,3,2013,1,1517224,1428.64783427495,34.3426514860001,
DCPS,Beers ES,3600 Alabama Ave  SE,430,Phase I,2013,ES," 	77,488 ",PARTIAL MOD,14813933,-24188,15123196,1,-76.95560475,38.864349505,7,Sousa MS,Anacostia HS,438,1,243,79,0.554794520547945,0.180365296803653,0.00228310502283105,177,34451.0069767442,191,NA,NA,1,NA,NA,NA,
DCPS,Benjamin Banneker HS,800 Euclid St  NW,620,Phase 0,NA,HS," 	180,000 ",STABILIZED,671104,77074000,78745104,1,-77.023976968,38.923832421,1,,,449,3,113,0,0.251670378619154,0,0.0066815144766147,401,1082.42580645161,4,NA,NA,1,NA,NA,NA,
DCPS,bowen,NA,NA,NA,NA,NA," 	71,900 ",STABILIZED,0,0,0,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,
DCPS,Brent ES,301 North Carolina Ave  SE,369,Phase I,2009,ES," 	47,500 ",PARTIAL MOD,4475354,0,4485194,1,-77.00145985,38.884800874,6,Jefferson Acad. MS,Eastern HS,368,5,23,22,0.0625,0.0597826086956522,0.0135869565217391,129,12128.3306233062,94,NA,NA,1,NA,NA,NA,
PCS,Bridges PCS,1244 Taylor Street. NW,534,NA,NA,ES," 	20,676 ",Facility Allowance,3405436,NA,NA,0,-77.0283582,38.9407171,4,NA,NA,272,102,93,77,0.341911764705882,0.283088235294118,0.375,76,6377.22097378277,165,10,2006,1,340543.6,637.722097378277,16.4704778487135,
PCS,Bridges PCS,"1250 Taylor Street, NW",534,NA,NA,ES," 	20,676 ",Facility Allowance,3405436,NA,NA,0,-77.0285894,38.9405054,4,NA,NA,272,102,93,77,0.341911764705882,0.283088235294118,0.375,76,6377.22097378277,165,10,2006,1,340543.6,637.722097378277,16.4704778487135,
PCS,Bridges PCS,"4300 13th Street NW
",534,NA,NA,ES," 	20,676 ",Facility Allowance,3405436,NA,NA,0,-77.03121,38.94344,4,NA,NA,272,102,93,77,0.341911764705882,0.283088235294118,0.375,76,6377.22097378277,165,10,2006,1,340543.6,637.722097378277,16.4704778487135,
DCPS,Brightwood EC,1300 Nicholson St NW,584,Full,2005,ES/MS," 	78,000 ",FULL MOD + ADD,22265461,0,22269148,1,-77.030688846,38.960535392,4,,Coolidge HS,639,379,302,78,0.472613458528951,0.122065727699531,0.593114241001565,122,38125.7893835616,285,NA,NA,1,NA,NA,NA,
PCS,Briya Public Charter School,"1755 Newton Street, NW",663,NA,NA,ADULT," 	26,940 ",Facility Allowance,8206459,NA,NA,0,-77.0405163,38.9347901,1,NA,NA,492,50,20,5,0.040650406504065,0.0101626016260163,0.101626016260163,55,12377.766214178,305,9,2007,1,911828.777777778,1375.30735713089,33.8466509939784,
PCS,Briya Public Charter School,"2333 Ontario Road, NW (Main Office)",663,NA,NA,ADULT," 	26,940 ",Facility Allowance,8206459,NA,NA,0,-77.0368707,38.9071923,2,NA,NA,492,50,20,5,0.040650406504065,0.0101626016260163,0.101626016260163,55,12377.766214178,305,9,2007,1,911828.777777778,1375.30735713089,33.8466509939784,
PCS,Briya Public Charter School,"3912 Georgia Avenue, NW",663,NA,NA,ADULT," 	26,940 ",Facility Allowance,8206459,NA,NA,0,-77.0250314,38.9391892,4,NA,NA,492,50,20,5,0.040650406504065,0.0101626016260163,0.101626016260163,55,12377.766214178,305,9,2007,1,911828.777777778,1375.30735713089,33.8466509939784,
DCPS,Brookland MS," 1150  Michigan Avenue, NE",540,Full,2014,MS," 	110,000 ",FULL REPLACEMENT,58053351,-1202174,62711400,1,-76.99182,38.93741,5,NA,Dunbar HS,NA,NA,NA,NA,NA,NA,NA,NA,NA,528,NA,NA,1,NA,NA,NA,
DCPS,Browne EC,850 26th St  NE,804,Phase 0,NA,ES/MS," 	215,392 ",STABILIZED,131951,20636000,23793129,1,-76.970667058,38.902598548,5,,Eastern HS,353,23,241,56,0.68271954674221,0.158640226628895,0.0651558073654391,610,164.11815920398,1,NA,NA,1,NA,NA,NA,
DCPS,Bruce-Monroe ES @ Park View,3560 Warder St  NW,609,Phase I,2012,ES," 	82,192 ",PARTIAL MOD,11264300,0,17026865,1,-77.021185666,38.934413761,1,CHEC (6-8),Cardozo EC (9-12),465,NA,235,NA,NA,NA,NA,NA,18496.3875205255,137,NA,NA,1,NA,NA,NA,
DCPS,brucemonroe-demolished,NA,NA,NA,NA,NA," 	110,700 ",DEMOLISHED,1499358,0," 	1,499,358 ",1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,0,NA,NA,NA,
DCPS,Bunker Hill ES,1401 Michigan Ave  NE,480,Phase I,2012,ES," 	69,392 ",PARTIAL MOD,6533765,0,6544178,1,-76.984995636,38.942012134,5,Brookland MS,Dunbar HS,225,NA,108,NA,NA,NA,NA,NA,13612.0104166667,94,NA,NA,1,NA,NA,NA,
DCPS,Burroughs ES,1820 Monroe St  NE,450,Phase I,2013,ES," 	69,696 ",PARTIAL MOD + ADD,8239048,0,8866114,1,-76.97845637,38.933502326,5,Brookland MS,Dunbar HS,297,14,156,53,0.525252525252525,0.178451178451178,0.0471380471380471,235,18308.9955555556,118,NA,NA,1,NA,NA,NA,
DCPS,Burrville ES,801 Division Ave  NE,400,Phase I,2010,ES," 	94,992 ",PARTIAL MOD,2991980,0,2996347,1,-76.92445918,38.900565431,7,Kelly Miller MS,Woodson HS,360,2,244,36,0.677777777777778,0.1,0.00555555555555556,264,7479.95,31,NA,NA,1,NA,NA,NA,
DCPS,C.W. Harris ES,301 53rd St  SE,438,Phase 0,NA,ES," 	56,000 ",STABILIZED,0,12606000,12606000,1,-76.926115499,38.883598497,7,Kelly Miller MS,Woodson HS,291,2,229,40,0.786941580756014,0.13745704467354,0.00687285223367698,192,0,0,NA,NA,1,NA,NA,NA,
PCS,Capital City High School PCS,"102 Peabody Street, NW",NA,NA,NA,HS," 	57,033 ",Facility Allowance,5546488,NA,NA,1,-77.0113808,38.9626905,4,NA,NA,329,50,148,60,0.449848024316109,0.182370820668693,0.151975683890578,173,NA,97,6,2010,1,924414.666666667,NA,16.2084173490202,
PCS,Capital City Lower PCS,"100 Peabody Street, NW",1180,NA,NA,ES," 	57,033 ",Facility Allowance,5829980,NA,NA,1,-77.0126091,38.9623344,4,NA,NA,322,95,72,15,0.22360248447205,0.046583850931677,0.295031055900621,177,4940.66101694915,102,7,2009,1,832854.285714286,705.808716707022,14.6030243142441,
PCS,Capital City Middle School,"101 Peabody Street, NW",NA,NA,NA,MS," 	57,033 ",Facility Allowance,3252992,NA,NA,1,-77.0110697,38.9627222,4,NA,NA,320,38,111,56,0.346875,0.175,0.11875,178,NA,57,4,2009,1,813248,NA,14.2592534146897,
DCPS,Capitol Hill Montessori,215 G Street NE,360,Phase 0,NA,ES/MS," 	47,200 ",STABILIZED,975866,11987136,14637256,1,-77.002562701,38.898529974,6,NA,Eastern HS,310,NA,25,NA,NA,NA,NA,NA,2710.73888888889,21,NA,NA,1,NA,NA,NA,
DCPS,Cardozo EC,1200 Clifton St. NW,1070,Full,2013,MS/HS," 	397,400 ",FULL MOD + ADD,131527974,0,132124454,1,-77.028470794,38.922172198,1,,,781,266,573,188,0.733674775928297,0.240717029449424,0.340588988476312,509,122923.340186916,331,NA,NA,1,NA,NA,NA,
PCS,Carlos Rosario International PCS Harvard Street Campus,"514 V Street, NE",1614,NA,NA,ADULT," 	132,000 ",Facility Allowance,57276227,NA,NA,0,-76.9986344,38.9183706,5,NA,NA,1973,113,0,0,0,0,0.05727318803852,67,35487.1294919455,434,17,1999,1,3369189.82352941,2087.47820540856,25.5241653297683,
PCS,Carlos Rosario International PCS Harvard Street Campus,"1100 Harvard Street, NW",1614,NA,NA,ADULT," 	132,000 ",Facility Allowance,57276227,NA,NA,0,-77.0276499,38.9263689,1,NA,NA,1973,113,0,0,0,0,0.05727318803852,67,35487.1294919455,434,17,1999,1,3369189.82352941,2087.47820540856,25.5241653297683,
PCS,Cedar Tree Academy PCS,"701 Howard Road, SE",650,NA,NA,PK3-K," 	31,000 ",Facility Allowance,2065776,NA,NA,1,-76.999207,38.8641137,8,NA,NA,358,0,261,9,0.729050279329609,0.0251396648044693,0,87,3178.11692307692,67,2,2014,1,1032888,1589.05846153846,33.3189677419355,
PCS,Center City Brightwood Campus PCS,"6008 Georgia Avenue, NW",567,NA,NA,ES/MS," 	37,010 ",Facility Allowance,4766091,NA,NA,1,-77.02838,38.9631991,4,NA,NA,248,55,80,26,0.32258064516129,0.104838709677419,0.221774193548387,149,8405.80423280423,129,7,2009,1,680870.142857143,1200.82917611489,18.3969236113792,
PCS,Center City Capitol Hill Campus PCS,"1503 East Capitol Street, SE",534,NA,NA,ES/MS," 	40,037 ",Facility Allowance,4699097,NA,NA,1,-76.9835459,38.8897865,6,NA,NA,239,0,112,23,0.468619246861925,0.096234309623431,0,168,8799.80711610487,117,7,2009,1,671299.571428571,1257.1153023007,16.7669798293721,
PCS,Center City Congress Heights Campus PCS,"220 Highview Place, SE",341,NA,NA,ES/MS," 	27,000 ",Facility Allowance,4770011,NA,NA,1,-77.0045487,38.8415048,8,NA,NA,257,0,172,19,0.669260700389105,0.0739299610894942,0,105,13988.3020527859,177,7,2009,1,681430.142857143,1998.3288646837,25.2381534391534,
PCS,Center City Petworth Campus PCS,"510 Webster Street, NW",425,NA,NA,ES/MS," 	30,825 ",Facility Allowance,4949770,NA,NA,1,-77.0208684,38.9437731,4,NA,NA,262,53,97,19,0.370229007633588,0.0725190839694656,0.202290076335878,118,11646.5176470588,161,7,2009,1,707110,1663.78823529412,22.939497161395,
PCS,Center City Shaw Campus PCS,"711 N Street, NW",350,NA,NA,ES/MS," 	29,240 ",Facility Allowance,4824166,NA,NA,1,-77.0224536,38.9074837,2,NA,NA,241,34,113,29,0.468879668049793,0.120331950207469,0.141078838174274,121,13783.3314285714,165,7,2009,1,689166.571428571,1969.04734693878,23.5693081883916,
PCS,Center City Trinidad Campus PCS,"1217 W  Virginia Avenue, NE",434,NA,NA,ES/MS," 	23,313 ",Facility Allowance,4651663,NA,NA,1,-76.991479,38.905386,5,NA,NA,236,4,132,26,0.559322033898305,0.110169491525424,0.0169491525423729,99,10718.1175115207,200,7,2009,1,664523.285714286,1531.15964450296,28.5044089441207,
PCS,Cesar Chavez Capitol Hill PCS,"709 12th Street, SE",430,NA,NA,HS," 	40,000 ",Facility Allowance,12075294,NA,NA,1,-76.9907031,38.8807813,6,NA,NA,358,21,225,70,0.628491620111732,0.195530726256983,0.058659217877095,112,28082.0790697674,302,10,2006,1,1207529.4,2808.20790697674,30.188235,
PCS,Cesar Chavez Parkside MS PCS,"3702 Hayes Street,  NE",NA,NA,NA,MS," 	30,870 ",Facility Allowance,16948761,NA,NA,1,-76.9500149,38.9029444,7,NA,NA,303,8,204,42,0.673267326732673,0.138613861386139,0.0264026402640264,102,NA,549,10,2006,1,1694876.1,NA,54.9036637512148,
PCS,Cesar Chavez PCS Chavez Prep,"770 Kenyon Street, NW",420,NA,NA,MS," 	36,059 ",Facility Allowance,6096304,NA,NA,1,-77.025605,38.929581,1,NA,NA,331,94,170,48,0.513595166163142,0.145015105740181,0.283987915407855,109,14515.0095238095,169,8,2008,1,762038,1814.37619047619,21.1330874400288,
PCS,Cesar Chavez PCS Parkside Upper,"3701 Hayes Street,  NE",834,NA,NA,HS," 	36,015 ",Facility Allowance,3379632,NA,NA,1,-76.9491059,38.9013653,7,NA,NA,356,7,228,40,0.640449438202247,0.112359550561798,0.0196629213483146,101,4052.31654676259,94,3,2013,1,1126544,1350.7721822542,31.2798556157157,
DCPS,CHOICE Academy at Emery,1720 1st St NE,NA,NA,NA,ALT," 	63,800 ",STABILIZED,NA,NA,NA,NA,-77.006775952,38.913502755,5,NA,NA,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
DCPS,Cleveland ES,1825 8th St  NW,320,Full,2004,ES," 	53,000 ",FULL MOD + ADD,20270264,0,20270264,1,-77.022707176,38.915144954,1,Cardozo EC (6-8),Cardozo EC (9-12),308,47,137,36,0.444805194805195,0.116883116883117,0.152597402597403,172,63344.575,382,NA,NA,1,NA,NA,NA,
DCPS,Columbia Heights EC (CHEC),3101 16th St  NW,1400,Full,2006,MS/HS," 	325,218 ",FULL REPLACEMENT,78652173,0,78652173,1,-77.035858309,38.929544434,1,,Cardozo HS (9-12),1384,429,744,153,0.53757225433526,0.110549132947977,0.309971098265896,235,56180.1235714286,242,NA,NA,1,NA,NA,NA,
PCS,Community Academy Amos I,"1300 Allison Street, NW",957,NA,NA,ES," 	55,000 ",Facility Allowance,13482960,NA,NA,1,-77.030868,38.944517,4,NA,NA,590,213,261,53,0.442372881355932,0.0898305084745763,0.361016949152542,93,14088.7774294671,245,10,2006,1,1348296,1408.87774294671,24.5144727272727,
PCS,Community Academy Amos II,"33 Riggs Road, NE",600,NA,NA,ES," 	50,600 ",Facility Allowance,5565731,NA,NA,1,-77.006643,38.9549208,5,NA,NA,329,86,193,18,0.586626139817629,0.0547112462006079,0.261398176291793,154,9276.21833333333,110,10,2006,1,556573.1,927.621833333333,10.9994683794466,
PCS,Community Academy Butler Global,"1400 1st Street, NW",1020,NA,NA,ES," 	100,000 ",Facility Allowance,7549324,NA,NA,1,-77.0132341,38.9090757,5,NA,NA,523,51,272,35,0.520076481835564,0.0669216061185468,0.0975143403441683,191,7401.29803921569,75,10,2006,1,754932.4,740.129803921569,7.549324,
PCS,Community Academy CAPCS Online,"1351 Nicholson Street, NW",217,NA,NA,ES/MS," 	20,100 ",Facility Allowance,3128675,NA,NA,1,-77.031579,38.9604804,4,NA,NA,123,0,43,21,0.349593495934959,0.170731707317073,0,163,14417.8571428571,156,9,2007,1,347630.555555556,1601.98412698413,17.2950525152018,
PCS,Community College Preparatory Academy PCS,"2405 Martin Luther King Jr. Avenue, SE",155,NA,NA,ADULT," 	11,000 ",Facility Allowance,1339656,NA,NA,1,-76.9927263,38.8628141,8,NA,NA,273,0,0,1,0,0.00366300366300366,0,40,8642.94193548387,122,2,2014,1,669828,4321.47096774194,60.8934545454545,
DCPS,Coolidge HS,6315 5th St  NW,1105,Phase 0,NA,HS," 	271,300 ",STABILIZED,2537691,116633000,122176717,1,-77.019578251,38.967284215,4,,,395,50,301,104,0.762025316455696,0.263291139240506,0.126582278481013,687,2296.55294117647,9,NA,NA,1,NA,NA,NA,
PCS,Creative Minds International PCS,"3224 16th Street, NW",203,NA,NA,ES," 	17,976 ",Facility Allowance,1282032,NA,NA,1,-77.0368058,38.9315518,1,NA,NA,181,10,22,48,0.121546961325967,0.265193370165746,0.0552486187845304,99,6315.42857142857,71,3,2013,1,427344,2105.14285714286,23.7730307076101,
PCS,D C  Bilingual PCS,"1420 Columbia Road, NW",809,NA,NA,ES," 	75,000 ",Facility Allowance,9258495,NA,NA,0,-77.0332308,38.927174,1,NA,NA,364,180,130,56,0.357142857142857,0.153846153846154,0.494505494505495,206,11444.369592089,123,11,2005,1,841681.363636364,1040.39723564445,11.2224181818182,
PCS,D C  Bilingual PCS,"3029 14th Street, NW",809,NA,NA,ES," 	75,000 ",Facility Allowance,9258495,NA,NA,0,-77.0322034,38.9283049,1,NA,NA,364,180,130,56,0.357142857142857,0.153846153846154,0.494505494505495,206,11444.369592089,123,11,2005,1,841681.363636364,1040.39723564445,11.2224181818182,
PCS,D C  Preparatory Benning Campus PCS,"100 41st Street, NE",849,NA,NA,ES," 	80,352 ",Facility Allowance,6611687,NA,NA,1,-76.9449133,38.890775,7,NA,NA,442,8,231,22,0.52262443438914,0.0497737556561086,0.0180995475113122,182,7787.617196702,82,7,2009,1,944526.714285714,1112.516742386,11.7548625334244,
PCS,D C  Preparatory Edgewood Elementary Campus PCS,"707 Edgewood Street, NE",499,NA,NA,ES," 	50,050 ",Facility Allowance,9341738,NA,NA,1,-76.9955558,38.9241765,5,NA,NA,432,20,197,28,0.456018518518519,0.0648148148148148,0.0462962962962963,116,18720.9178356713,187,8,2008,1,1167717.25,2340.11472945892,23.331013986014,
PCS,D C  Preparatory Edgewood Middle Campus PCS," 701 Edgewood Street, NE",340,NA,NA,MS," 	39,746 ",Facility Allowance,6749878,NA,NA,1,-76.9959848,38.9247765,5,NA,NA,294,1,101,46,0.343537414965986,0.156462585034014,0.00340136054421769,135,19852.5823529412,170,8,2008,1,843734.75,2481.57279411765,21.2281676143511,
PCS,D C Preparatory Benning Middle Campus,"101 41st Street, NE",NA,NA,NA,MS," 	26,784 ",Facility Allowance,697944,NA,NA,1,-76.944288,38.891529,7,NA,NA,152,1,67,22,0.440789473684211,0.144736842105263,0.00657894736842105,176,NA,26,2,2014,1,348972,NA,13.0291218637993,
PCS,DC Scholars PCS,"5601 East Capitol Street, SE",443,NA,NA,ES," 	31,000 ",Facility Allowance,2641008,NA,NA,1,-76.9216306,38.8893227,7,NA,NA,389,0,252,38,0.647814910025707,0.0976863753213368,0,80,5961.64334085779,85,3,2013,1,880336,1987.2144469526,28.397935483871,
DCPS,DCPS MultiSchool,NA,NA,NA,NA,NA," 	12,000,000 ",NA,1392424292,242169537,1669108197,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,NA,NA,1,NA,NA,NA,
DCPS,Deal MS,3815 Fort Dr  NW,1370,Full,2014,MS," 	223,689 ",FULL MOD + ADD,73524856,0,74154641,1,-77.075199068,38.952896407,3,,Wilson HS,1312,47,99,166,0.0754573170731707,0.126524390243902,0.0358231707317073,170,53667.7781021898,329,NA,NA,1,NA,NA,NA,
PCS,Democracy Prep PCS-Congress Heights,"3100 Martin Luther King Jr. Avenue, SE",890,NA,NA,ES," 	42,528 ",Facility Allowance,1904640,NA,NA,1,-76.9981457,38.8434987,8,NA,NA,620,1,436,70,0.703225806451613,0.112903225806452,0.00161290322580645,69,2140.04494382022,45,1,2015,1,1904640,2140.04494382022,44.7855530474041,
PCS,District of Columbia International School,"3220 16th Street, NW",308,NA,NA,MS," 	20,217 ",Facility Allowance,645120,NA,NA,1,-77.0367897,38.9313597,1,NA,NA,210,26,44,40,0.20952380952381,0.19047619047619,0.123809523809524,96,2094.54545454545,32,1,2015,1,645120,2094.54545454545,31.9097788989464,
DCPS,Dorothy Height ES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.03087,38.94452,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
DCPS,Drew ES,5600 Eads St  NE,362,Phase I,2010,ES," 	72,800 ",PARTIAL MOD,4898637,0,4938279,1,-76.919927008,38.89599364,7,Kelly Miller MS,Woodson HS,201,0,166,34,0.825870646766169,0.169154228855721,0,362,13532.1464088398,67,NA,NA,1,NA,NA,NA,
DCPS,Dunbar HS,101 N St. NW,1100,Full,2013,HS," 	260,000 ",FULL REPLACEMENT,122897293,-250000,125144890,1,-77.014693861,38.908523215,5,,,653,6,483,198,0.739663093415008,0.303215926493109,0.00918836140888208,398,111724.811818182,473,NA,NA,1,NA,NA,NA,
PCS,E L  Haynes PCS Georgia Avenue,"3600 Georgia Avenue, NW",516,NA,NA,MS," 	45,484 ",Facility Allowance,6850144,NA,NA,1,-77.0243669,38.9343788,1,NA,NA,377,54,157,77,0.416445623342175,0.204244031830239,0.143236074270557,121,13275.4728682171,151,6,2010,1,1141690.66666667,2212.57881136951,25.1009292645033,
PCS,E.L. Haynes Kansas Avenue - High School,"4501 Kansas Avenue, NW",861,NA,NA,HS," 	17,647 ",Facility Allowance,5596776,NA,NA,1,-77.022371,38.945657,4,NA,NA,422,66,218,90,0.516587677725118,0.213270142180095,0.156398104265403,42,6500.32055749129,317,5,2011,1,1119355.2,1300.06411149826,63.4303394344648,
PCS,E.L. Haynes PCS Kansas Avenue (Elementary School),"4502 Kansas Avenue, NW",NA,NA,NA,ES," 	53,800 ",Facility Allowance,2661384,NA,NA,1,-77.0234943,38.9451898,4,NA,NA,358,108,126,39,0.35195530726257,0.108938547486034,0.301675977653631,150,NA,49,3,2012,1,887128,NA,16.4893680297398,
PCS,Eagle Academy PCS - Eagle Center at McGogney,"3400 Wheeler Road, SE",1241,NA,NA,ES," 	60,000 ",Facility Allowance,10094728,NA,NA,1,-76.9936441,38.8406263,8,NA,NA,774,2,466,83,0.602067183462532,0.107235142118863,0.00258397932816537,78,8134.34971796938,168,6,2010,1,1682454.66666667,1355.7249529949,28.0409111111111,
PCS,Eagle Academy PCS New Jersey Avenue Campus,"1017 New Jersey Avenue, SE",190,NA,NA,ES," 	8,500 ",Facility Allowance,2333312,NA,NA,1,-77.0051215,38.877859,6,NA,NA,146,0,79,11,0.541095890410959,0.0753424657534247,0,58,12280.5894736842,275,6,2010,1,388885.333333333,2046.7649122807,45.7512156862745,
PCS,Early Childhood Academy PCS,"4025 9th Street, SE",233,NA,NA,ES," 	15,458 ",Facility Allowance,4742251,NA,NA,0,-76.990566,38.8317414,8,NA,NA,259,0,167,22,0.644787644787645,0.0849420849420849,0,76,15807.5033333333,242,8,2006,1,592781.375,1975.93791666667,30.2223603038646,
